School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
CLEVELAND HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,5511 15 AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLIP,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,RIVERVIEW SCHOOL DISTRICT,32302 NE 50TH ST,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVER CREEK ELEMENTARY,2015-16,106,88.7%,0.0%,10.4%,0.9%,0.0%,0.9%,0.0%,0.0%,94.3%,94.3%,94.3%,88.7%,99.1%,93.4%,94,0,11,1,0,1,0,0,6,6,6,12,1,7,Y,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,16715 36TH AVE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CLOVER PARK HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,11023 GRAVELLY LK DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVIS POINT,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EASTMONT SCHOOL DISTRICT,1855 4TH ST SE,EAST WENATCHEE,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-7,N,Y
CLYDE HILL ELEMENTARY,2015-16,106,76.4%,0.9%,17.0%,5.7%,1.9%,3.8%,0.0%,0.0%,86.8%,86.8%,90.6%,84.9%,92.5%,84.0%,81,1,18,6,2,4,0,0,14,14,10,16,8,17,Y,PUBLIC SCHOOL,BELLEVUE SCHOOL DISTRICT,9601 NE 24TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COLBERT ELEMENTARY SCHOOL,2015-16,39,92.3%,0.0%,2.6%,5.1%,0.0%,5.1%,0.0%,0.0%,97.4%,97.4%,97.4%,97.4%,94.9%,92.3%,36,0,1,2,0,2,0,0,1,1,1,1,2,3,Y,PUBLIC SCHOOL,MEAD SCHOOL DISTRICT,4625 E GREENBLUFF RD,COLBERT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
COLFAX PUBLIC SCHOOLS,2015-16,43,97.7%,0.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,97.7%,100.0%,42,0,1,0,0,0,0,0,0,0,0,0,1,0,Y,PUBLIC SCHOOL,COLFAX SCHOOL DISTRICT,1110 N. MORTON STREET,COLFAX,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y
COLLEGE PLACE ELEMENTARY,2015-16,70,87.1%,0.0%,12.9%,0.0%,0.0%,0.0%,0.0%,0.0%,91.4%,91.4%,90.0%,90.0%,97.1%,90.0%,61,0,9,0,0,0,0,0,6,6,7,7,2,7,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,20401 76TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
COLLEGE PLACE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COLLEGE PLACE SCHOOL DISTRICT,1755 S. COLLEGE AVENUE,COLLEGE PLACE,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COLLEGE PLACE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,7501 208TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
COLLINS ELEMENTARY,2015-16,62,91.9%,3.2%,0.0%,4.8%,0.0%,4.8%,0.0%,0.0%,95.2%,95.2%,95.2%,98.4%,100.0%,95.2%,57,2,0,3,0,3,0,0,3,3,3,1,0,3,Y,PUBLIC SCHOOL,FRANKLIN PIERCE SCHOOL DISTRICT,4608 128TH ST E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
COLTON SCHOOL,2015-16,5,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,100.0%,80.0%,4,0,1,0,0,0,0,0,1,1,1,1,0,1,Y,PUBLIC SCHOOL,COLTON SCHOOL DISTRICT,706 UNION,COLTON,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA ADVENTIST ACADEMY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,BATTLE GROUND SCHOOL DISTRICT,11100 NE 189TH ST,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA BASIN SECONDARY SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,6527 PATTON BLVD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-12,N,Y
COLUMBIA CREST ELEMENTARY SCHOOL,2015-16,23,78.3%,0.0%,21.7%,0.0%,0.0%,0.0%,0.0%,0.0%,78.3%,78.3%,82.6%,82.6%,91.3%,82.6%,18,0,5,0,0,0,0,0,5,5,4,4,2,4,Y,PUBLIC SCHOOL,EATONVILLE SCHOOL DISTRICT,24503 STATE ROUTE 706 E,ASHFORD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COLUMBIA ELEMENTARY,2015-16,62,90.3%,8.1%,0.0%,1.6%,1.6%,0.0%,0.0%,0.0%,93.5%,93.5%,100.0%,96.8%,98.4%,96.8%,56,5,0,1,1,0,0,0,4,4,0,2,1,2,Y,PUBLIC SCHOOL,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COLUMBIA ELEMENTARY,2015-16,64,81.3%,1.6%,7.8%,9.4%,3.1%,7.8%,3.1%,0.0%,87.5%,87.5%,84.4%,85.9%,87.5%,87.5%,52,1,5,6,2,5,2,0,8,8,10,9,8,8,Y,PUBLIC SCHOOL,MUKILTEO SCHOOL DISTRICT,10520 HARBOUR POINTE BLVD,MUKILTEO,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2015-16,45,40.0%,4.4%,44.4%,11.1%,0.0%,11.1%,0.0%,0.0%,62.2%,62.2%,68.9%,53.3%,68.9%,64.4%,18,2,20,5,0,5,0,0,17,17,14,21,14,16,Y,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,2508 UTTER ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2015-16,84,91.7%,1.2%,4.8%,2.4%,0.0%,2.4%,0.0%,0.0%,95.2%,95.2%,97.6%,94.0%,96.4%,97.6%,77,1,4,2,0,2,0,0,4,4,2,5,3,2,Y,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,600 ALASKA ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COLUMBIA GORGE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,STEVENSON-CARSON SCHOOL DISTRICT,441 HOT SPRINGS AVENUE,CARSON,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K-12,Y,Y
COLUMBIA HEIGHTS ELEMENTARY,2015-16,56,91.1%,3.6%,0.0%,5.4%,0.0%,5.4%,0.0%,0.0%,94.6%,94.6%,94.6%,94.6%,94.6%,92.9%,51,2,0,3,0,3,0,0,3,3,3,3,3,4,Y,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,2820 PARKVIEW DRIVE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA HIGH AND ELEMENTARY,2015-16,5,80.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,100.0%,80.0%,4,0,0,1,0,1,0,0,1,1,1,1,0,1,Y,PUBLIC SCHOOL,COLUMBIA (STEVENS) SCHOOL DISTRICT,PO BOX 7,HUNTERS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,WHITE SALMON VALLEY SCHOOL DISTRICT,PO BOX 1339,WHITE SALMON,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COLUMBIA JUNIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,FIFE SCHOOL DISTRICT,2901 54TH AVENUE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
COLUMBIA MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
COLUMBIA RIDGE ELEMENTARY,2015-16,90,97.8%,0.0%,0.0%,2.2%,0.0%,2.2%,0.0%,0.0%,97.8%,97.8%,97.8%,97.8%,98.9%,97.8%,88,0,0,2,0,2,0,0,2,2,2,2,1,2,Y,PUBLIC SCHOOL,EPHRATA SCHOOL DISTRICT,60 H SE,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
COLUMBIA RIVER HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,800 NW 99TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA VALLEY ELEMENTARY,2015-16,98,76.5%,3.1%,16.3%,4.1%,1.0%,2.0%,0.0%,1.0%,84.7%,84.7%,84.7%,82.7%,82.7%,84.7%,75,3,16,4,1,2,0,1,15,15,15,17,17,15,Y,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),17500 SE SEQUOIA CR,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA VALLEY GARDEN ELEM SCHL,2015-16,64,98.4%,0.0%,0.0%,1.6%,0.0%,1.6%,0.0%,0.0%,98.4%,98.4%,98.4%,98.4%,100.0%,98.4%,63,0,0,1,0,1,0,0,1,1,1,1,0,1,Y,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,2644 30TH AVENUE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLVILLE JUNIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COLVILLE SCHOOL DISTRICT,990 S CEDAR ST,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
COLVILLE SENIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COLVILLE SCHOOL DISTRICT,154 HIGHWAY 20 E,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
COLVILLE VALLEY JUNIOR ACADEMY,2015-16,4,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,PRIVATE SCHOOL,COLVILLE SCHOOL DISTRICT,139 E CEDAR LP,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
COMM BASED TRANS PROGRAM,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,601 S 8TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
COMMUNITY CHRISTIAN ACADEMY,2015-16,29,96.6%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,96.6%,96.6%,100.0%,100.0%,28,1,0,0,0,0,0,0,0,0,1,1,0,0,Y,PRIVATE SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,4706 PARK CENTER AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
COMMUNITY MONTESSORI,2015-16,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,1407 SOUTH I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
COMMUNITY SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,11133 NE 65TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
COMPASS HIGH SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,913 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CONCORD INTERNATIONAL SCHOOL,2015-16,63,81.0%,0.0%,15.9%,3.2%,0.0%,3.2%,0.0%,0.0%,87.3%,87.3%,90.5%,84.1%,93.7%,87.3%,51,0,10,2,0,2,0,0,8,8,6,10,4,8,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,723 S CONCORD ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CONCORDIA LUTHERAN SCHOOL,2015-16,10,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,80.0%,8,0,2,0,0,0,0,0,0,0,0,0,0,2,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,7040 36TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCORDIA LUTHERAN SCHOOL,2015-16,11,72.7%,18.2%,0.0%,9.1%,0.0%,9.1%,0.0%,0.0%,90.9%,90.9%,72.7%,90.9%,90.9%,72.7%,8,2,0,1,0,1,0,0,1,1,3,1,1,3,Y,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,202 E 56TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCRETE ELEMENTARY,2015-16,39,89.7%,5.1%,0.0%,5.1%,0.0%,2.6%,0.0%,2.6%,92.3%,92.3%,92.3%,92.3%,94.9%,92.3%,35,2,0,2,0,1,0,1,3,3,3,3,2,3,Y,PUBLIC SCHOOL,CONCRETE SCHOOL DISTRICT,7838 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
CONCRETE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CONCRETE SCHOOL DISTRICT,7830 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CONNELL ELEM,2015-16,80,80.0%,2.5%,16.3%,1.3%,1.3%,0.0%,0.0%,0.0%,85.0%,85.0%,87.5%,85.0%,97.5%,85.0%,64,2,13,1,1,0,0,0,12,12,10,12,2,12,Y,PUBLIC SCHOOL,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
CONNELL HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CONTINUOUS CURRICULUM SCHOOL,2015-16,63,92.1%,0.0%,0.0%,7.9%,0.0%,7.9%,0.0%,0.0%,92.1%,92.1%,92.1%,92.1%,93.7%,92.1%,58,0,0,5,0,5,0,0,5,5,5,5,4,5,Y,PUBLIC SCHOOL,EAST VALLEY SCHOOL DISTRICT (SPOKANE),16924 E WELLESLEY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
CONWAY SCHOOL,2015-16,43,90.7%,0.0%,2.3%,7.0%,0.0%,7.0%,0.0%,0.0%,95.3%,95.3%,95.3%,95.3%,95.3%,90.7%,39,0,1,3,0,3,0,0,2,2,2,2,2,4,Y,PUBLIC SCHOOL,CONWAY SCHOOL DISTRICT,19710 STATE ROUTE 564,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
COOPER ELEMENTARY,2015-16,84,85.7%,1.2%,3.6%,9.5%,1.2%,9.5%,0.0%,0.0%,88.1%,88.1%,92.9%,89.3%,90.5%,91.7%,72,1,3,8,1,8,0,0,10,10,6,9,8,7,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,3200 N FERRALL ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
CORDATA ELEMENTARY SCHOOL,2015-16,87,87.4%,3.4%,5.7%,3.4%,2.3%,1.1%,0.0%,0.0%,92.0%,92.0%,93.1%,92.0%,94.3%,92.0%,76,3,5,3,2,1,0,0,7,7,6,7,5,7,Y,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,4420 ALDRICH RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
CORNERSTONE ACADEMY,2015-16,12,75.0%,0.0%,8.3%,16.7%,8.3%,8.3%,0.0%,0.0%,91.7%,91.7%,91.7%,83.3%,83.3%,91.7%,9,0,1,2,1,1,0,0,1,1,1,2,2,1,Y,PRIVATE SCHOOL,MONROE SCHOOL DISTRICT,14377 FRYELANDS BLVD SE,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-7,Y,Y
CORNERSTONE CHRISTIAN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,4224 E 4TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,LYNDEN SCHOOL DISTRICT,8872 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,1-12,N,Y
CORNERSTONE CHRISTIAN SCHOOL,2015-16,18,77.8%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,88.9%,88.9%,100.0%,94.4%,88.9%,14,0,4,0,0,0,0,0,2,2,2,0,1,2,Y,PRIVATE SCHOOL,OLYMPIA SCHOOL DISTRICT,5501 WIGGINS RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2015-16,47,87.2%,0.0%,4.3%,8.5%,0.0%,8.5%,0.0%,0.0%,93.6%,93.6%,91.5%,93.6%,93.6%,91.5%,41,0,2,4,0,4,0,0,3,3,4,3,3,4,Y,PRIVATE SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),7708 NE 78TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
COSMOPOLIS ELEMENTARY SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COSMOPOLIS SCHOOL DISTRICT,216 S. 11TH ST.,COSMOPOLIS,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
COTTAGE LAKE ELEMENTARY,2015-16,43,86.0%,0.0%,4.7%,9.3%,0.0%,9.3%,0.0%,0.0%,93.0%,93.0%,90.7%,90.7%,86.0%,90.7%,37,0,2,4,0,4,0,0,3,3,4,4,6,4,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,15940 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
COTTONWOOD ELEMENTARY,2015-16,88,96.6%,0.0%,0.0%,3.4%,1.1%,1.1%,1.1%,0.0%,97.7%,97.7%,97.7%,97.7%,96.6%,96.6%,85,0,0,3,1,1,1,0,2,2,2,2,3,3,Y,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,16734 S. COTTONWOOD CREEK BLVD.,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COTTONWOOD ELEMENTARY SCHOOL,2015-16,61,91.8%,0.0%,6.6%,1.6%,1.6%,0.0%,0.0%,0.0%,95.1%,95.1%,95.1%,96.7%,100.0%,96.7%,56,0,4,1,1,0,0,0,3,3,3,2,0,2,Y,PUBLIC SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,330 NE FOSTER ROAD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COTTONWOOD ELEMENTARY SCHOOL,2015-16,75,80.0%,2.7%,16.0%,1.3%,0.0%,1.3%,0.0%,0.0%,88.0%,88.0%,88.0%,85.3%,90.7%,85.3%,60,2,12,1,0,1,0,0,9,9,9,11,7,11,Y,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),1041 S 96TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
COUGAR CREEK ELEMENTARY SCHOOL,2015-16,42,92.9%,0.0%,2.4%,4.8%,4.8%,0.0%,0.0%,0.0%,95.2%,95.2%,92.9%,95.2%,97.6%,95.2%,39,0,1,2,2,0,0,0,2,2,3,2,1,2,Y,PUBLIC SCHOOL,LAKEWOOD SCHOOL DISTRICT,P.O. BOX 128,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
