School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
ACES HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MUKILTEO SCHOOL DISTRICT,9700 HOLLY DRIVE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ACME ELEMENTARY,2015-16,36,58.3%,0.0%,38.9%,2.8%,0.0%,2.8%,0.0%,0.0%,86.1%,86.1%,75.0%,83.3%,83.3%,69.4%,21,0,14,1,0,1,0,0,5,5,9,6,6,11,Y,PUBLIC SCHOOL,MOUNT BAKER SCHOOL DISTRICT,5200 TURKINGTON RD,ACME,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
ADAMS ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,WAPATO SCHOOL DISTRICT,1309 S CAMAS AVE,WAPATO,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
ADAMS ELEMENTARY,2015-16,53,94.3%,0.0%,0.0%,5.7%,1.9%,3.8%,0.0%,0.0%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,50,0,0,3,1,2,0,0,3,3,3,3,3,3,Y,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,2909-E 37 AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
ADAMS ELEMENTARY,2015-16,75,93.3%,1.3%,0.0%,5.3%,0.0%,5.3%,0.0%,0.0%,93.3%,94.7%,94.7%,93.3%,96.0%,94.7%,70,1,0,4,0,4,0,0,5,4,4,5,3,4,Y,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,14707 E 8TH AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
ADAMS ELEMENTARY SCHOOL,2015-16,107,78.5%,0.0%,19.6%,1.9%,0.9%,1.9%,0.0%,0.0%,89.7%,89.7%,90.7%,86.9%,91.6%,89.7%,84,0,21,2,1,2,0,0,11,11,10,14,9,11,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,6110 28 AV NW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ADAMS ELEMENTARY SCHOOL,2015-16,110,92.7%,0.9%,0.9%,5.5%,5.5%,0.0%,0.0%,0.0%,97.3%,97.3%,97.3%,97.3%,95.5%,95.5%,102,1,1,6,6,0,0,0,3,3,3,3,5,5,Y,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,723 S 8TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
ADELAIDE ELEMENTARY SCHOOL,2015-16,59,81.4%,1.7%,11.9%,5.1%,0.0%,5.1%,0.0%,0.0%,88.1%,88.1%,89.8%,89.8%,93.2%,84.7%,48,1,7,3,0,3,0,0,7,7,6,6,4,9,Y,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,1635 SW 304TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ADNA ELEMENTARY/MIDDLE/HIGH SCHOOL,2015-16,36,91.7%,0.0%,5.6%,2.8%,0.0%,2.8%,0.0%,0.0%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,33,0,2,1,0,1,0,0,3,3,3,3,3,3,Y,PUBLIC SCHOOL,ADNA SCHOOL DISTRICT,P.O. BOX 148,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K-12,Y,Y
AHTANUM VALLEY ELEMENTARY,2015-16,62,93.5%,0.0%,4.8%,1.6%,1.6%,0.0%,0.0%,0.0%,95.2%,95.2%,95.2%,96.8%,96.8%,95.2%,58,0,3,1,1,0,0,0,3,3,3,2,2,3,Y,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),3006 S WILEY RD,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
