School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
FRANKLIN ELEMENTARY,2016-17,Y,68,80.9%,4.4%,0.0%,14.7%,7.4%,8.8%,2.9%,0.0%,88.2%,88.2%,88.2%,86.8%,85.3%,86.8%,55,3,0,10,5,6,2,0,8,8,8,9,10,9,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,2627 E 17TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,
FRANKLIN ELEMENTARY SCHOOL,2016-17,Y,59,89.8%,0.0%,5.1%,5.1%,0.0%,5.1%,0.0%,0.0%,94.9%,98.3%,94.9%,93.2%,93.2%,91.5%,53,0,3,3,0,3,0,0,3,1,3,4,4,5,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,1402 S LAWRENCE ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
FRANKLIN HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,3013 S MT BAKER BV,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
FRANKLIN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,410 S 19TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-8,0,1,
FRANKLIN PIERCE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FRANKLIN PIERCE SCHOOL DISTRICT,11002 18TH AVE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
FRANTZ COE ELEMENTARY SCHOOL,2016-17,Y,97,90.7%,0.0%,7.2%,2.1%,2.1%,0.0%,0.0%,0.0%,96.9%,96.9%,93.8%,96.9%,96.9%,93.8%,88,0,7,2,2,0,0,0,3,3,6,3,3,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2424 7 AV W,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
FREDERICKSON ELEMENTARY,2016-17,Y,128,88.3%,3.1%,5.5%,3.1%,0.8%,1.6%,0.8%,0.0%,93.0%,93.0%,92.2%,93.8%,97.7%,91.4%,113,4,7,4,1,2,1,0,9,9,10,8,3,11,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,17418 74TH AVE E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
FREEMAN ELEMENTARY SCHOOL,2016-17,Y,45,93.3%,4.4%,0.0%,2.2%,0.0%,2.2%,0.0%,0.0%,95.6%,95.6%,93.3%,95.6%,95.6%,93.3%,42,2,0,1,0,1,0,0,2,2,3,2,2,3,PUBLIC SCHOOL,FREEMAN SCHOOL DISTRICT,14917 S JACKSON RD,ROCKFORD,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
FREEMAN HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FREEMAN SCHOOL DISTRICT,14626 S JACKSON RD,ROCKFORD,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
FREEMAN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FREEMAN SCHOOL DISTRICT,14917 S JACKSON RD,ROCKFORD,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,
FRENCH IMMERSION SCHOOL OF WASHINGTON,2016-17,Y,22,90.9%,0.0%,0.0%,9.1%,9.1%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,90.9%,20,0,0,2,2,0,0,0,0,0,0,0,0,2,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,4211 W LAKE SAMMAMISH PKWY SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,1,0,
FRENCH-AM SCHOOL OF PUGET SOUND,2016-17,Y,42,64.3%,0.0%,33.3%,2.4%,0.0%,2.4%,0.0%,0.0%,92.9%,95.2%,90.5%,90.5%,92.9%,92.9%,27,0,14,1,0,1,0,0,3,2,4,4,3,3,PRIVATE SCHOOL,MERCER ISLAND SCHOOL DISTRICT,3795 E MERCER WAY,MERCER ISLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,1,1,
FRIDAY HARBOR ELEMENTARY SCHOOL,2016-17,Y,56,39.3%,1.8%,53.6%,5.4%,1.8%,1.8%,1.8%,0.0%,62.5%,60.7%,64.3%,60.7%,75.0%,60.7%,22,1,30,3,1,1,1,0,21,22,20,22,14,22,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,PO BOX 458,FRIDAY HARBOR,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
FRIDAY HARBOR HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,PO BOX 458,FRIDAY HARBOR,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
FRIDAY HARBOR MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,PO BOX 458,FRIDAY HARBOR,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,
FRONTIER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,22110 108TH AVE E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,0,0,
FRONTIER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),7600 NE 166TH AVENUE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,
FRONTIER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,517 WEST THIRD AVENUE,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,0,1,
FROST ELEMENTARY,2016-17,Y,85,89.4%,2.4%,0.0%,8.2%,1.2%,5.9%,1.2%,0.0%,92.9%,92.9%,94.1%,92.9%,91.8%,92.9%,76,2,0,7,1,5,1,0,6,6,5,6,7,6,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,11801 NE 140TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
FRUIT VALLEY ELEMENTARY SCHOOL,2016-17,Y,42,85.7%,2.4%,9.5%,2.4%,0.0%,2.4%,0.0%,0.0%,88.1%,88.1%,88.1%,90.5%,97.6%,90.5%,36,1,4,1,0,1,0,0,5,5,5,4,1,4,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,3410 NW FRUIT VALLEY RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
FRUITLAND ELEMENTARY,2016-17,Y,91,51.6%,2.2%,41.8%,4.4%,1.1%,3.3%,0.0%,0.0%,69.2%,98.9%,73.6%,63.7%,90.1%,75.8%,47,2,38,4,1,3,0,0,28,1,24,33,9,22,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,1515 FRUITLAND AVE,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
FRYELANDS ELEMENTARY,2016-17,Y,76,92.1%,1.3%,2.6%,3.9%,1.3%,2.6%,0.0%,0.0%,94.7%,94.7%,96.1%,94.7%,96.1%,96.1%,70,1,2,3,1,2,0,0,4,4,3,4,3,3,PUBLIC SCHOOL,MONROE SCHOOL DISTRICT,15286 FRYELANDS BLVD,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
FUTURES SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,10601 NE 132ND,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
FUTURUS HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CENTRALIA SCHOOL DISTRICT,906 JOHNSON ROAD,CENTRALIA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,
GAISER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,3000 NE 99TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,
GARDEN HEIGHTS ELEMENTARY,2016-17,Y,93,90.3%,1.1%,0.0%,8.6%,2.2%,6.5%,0.0%,0.0%,92.5%,92.5%,92.5%,92.5%,90.3%,92.5%,84,1,0,8,2,6,0,0,7,7,7,7,9,7,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,707 E NELSON ROAD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
GARDENVIEW MONTESSORI,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,BELLINGHAM SCHOOL DISTRICT,3242 FIRWOOD AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-1,1,0,
GARDNER SCHOOL,2016-17,Y,14,78.6%,0.0%,0.0%,21.4%,0.0%,21.4%,0.0%,0.0%,78.6%,78.6%,78.6%,85.7%,78.6%,78.6%,11,0,0,3,0,3,0,0,3,3,3,2,3,3,PRIVATE SCHOOL,BATTLE GROUND SCHOOL DISTRICT,16413 NE 50TH AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-8,1,1,
GARFIELD AT PALOUSE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GARFIELD PALOUSE SCHOOL DISTRICT,600 EAST ALDER STREET,PALOUSE,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,
GARFIELD AT PALOUSE MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GARFIELD PALOUSE SCHOOL DISTRICT,POB 398,GARFIELD,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,
GARFIELD ELEMENTARY,2016-17,Y,8,62.5%,0.0%,12.5%,25.0%,0.0%,25.0%,0.0%,0.0%,87.5%,87.5%,75.0%,87.5%,87.5%,75.0%,5,0,1,2,0,2,0,0,1,1,2,1,1,2,PUBLIC SCHOOL,GARFIELD PALOUSE SCHOOL DISTRICT,POB 398,GARFIELD,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
GARFIELD ELEMENTARY,2016-17,Y,69,88.4%,5.8%,0.0%,5.8%,2.9%,1.4%,1.4%,0.0%,94.2%,94.2%,92.8%,92.8%,94.2%,88.4%,61,4,0,4,2,1,1,0,4,4,5,5,4,8,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,222 W KNOX AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,
GARFIELD ELEMENTARY SCHOOL,2016-17,Y,58,82.8%,0.0%,12.1%,5.2%,5.2%,0.0%,0.0%,0.0%,87.9%,87.9%,93.1%,84.5%,89.7%,89.7%,48,0,7,3,3,0,0,0,7,7,4,9,6,6,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,2215 PINE STREET,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
GARFIELD ELEMENTARY SCHOOL,2016-17,Y,68,67.6%,4.4%,17.6%,10.3%,2.9%,8.8%,0.0%,0.0%,80.9%,80.9%,85.3%,75.0%,83.8%,82.4%,46,3,12,7,2,6,0,0,13,13,10,17,11,12,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,325 PLYMOUTH ST NW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,1,0,
GARFIELD ELEMENTARY SCHOOL,2016-17,Y,66,93.9%,1.5%,3.0%,1.5%,0.0%,1.5%,0.0%,0.0%,97.0%,97.0%,97.0%,95.5%,100.0%,95.5%,62,1,2,1,0,1,0,0,2,2,2,3,0,3,PUBLIC SCHOOL,TOPPENISH SCHOOL DISTRICT,505 MADISON AVE,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
GARFIELD ELEMENTARY SCHOOL,2016-17,Y,92,97.8%,1.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,98.9%,98.9%,100.0%,98.9%,97.8%,100.0%,90,1,1,0,0,0,0,0,1,1,0,1,2,0,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,612 N 6TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
GARFIELD HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,400 23 AVE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
GARRISON MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WALLA WALLA PUBLIC SCHOOLS,906 CHASE ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,
GARRY MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,725 E JOSEPH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,7-8,0,0,
GATE PROGRAM,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,3100 E 18TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-12,0,0,
GATES SECONDARY SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FRANKLIN PIERCE SCHOOL DISTRICT,813 132ND STREET S,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-12,0,0,
GATEWAY CHRISTIAN SCHOOLS,2016-17,Y,17,88.2%,0.0%,5.9%,5.9%,0.0%,5.9%,0.0%,0.0%,88.2%,88.2%,88.2%,94.1%,94.1%,88.2%,15,0,1,1,0,1,0,0,2,2,2,1,1,2,PRIVATE SCHOOL,NORTH KITSAP SCHOOL DISTRICT,705 NE LINCOLN RD,POULSBO,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-6,1,1,
GATEWAY CROSSPOINT CHRISTIAN SCHOOL,2016-17,Y,20,60.0%,0.0%,25.0%,15.0%,5.0%,10.0%,0.0%,0.0%,90.0%,90.0%,90.0%,95.0%,90.0%,90.0%,12,0,5,3,1,2,0,0,2,2,2,1,2,2,PRIVATE SCHOOL,BREMERTON SCHOOL DISTRICT,4012 CHICO WAY NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K-12,1,1,
GATEWAY MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,15404 SILVER FIRS DR,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,
GATEWOOD ELEMENTARY SCHOOL,2016-17,Y,61,93.4%,0.0%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,96.7%,96.7%,98.4%,98.4%,95.1%,98.4%,57,0,4,0,0,0,0,0,2,2,1,1,3,1,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,4320 SW MYRTLE ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
GAUSE ELEMENTARY,2016-17,Y,93,91.4%,4.3%,1.1%,3.2%,1.1%,2.2%,0.0%,0.0%,92.5%,92.5%,95.7%,93.5%,97.8%,94.6%,85,4,1,3,1,2,0,0,7,7,4,6,2,5,PUBLIC SCHOOL,WASHOUGAL SCHOOL DISTRICT,1100 34TH STREET,WASHOUGAL,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
GEIGER MONTESSORI SCHOOL,2016-17,Y,82,90.2%,1.2%,6.1%,2.4%,0.0%,2.4%,0.0%,0.0%,95.1%,98.8%,95.1%,92.7%,95.1%,92.7%,74,1,5,2,0,2,0,0,4,1,4,6,4,6,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,621 S JACKSON AVE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
GENESEE HILL ELEMENTARY,2016-17,Y,123,93.5%,0.0%,2.4%,4.1%,0.0%,4.1%,0.0%,0.0%,99.2%,99.2%,95.9%,94.3%,95.1%,95.1%,115,0,3,5,0,5,0,0,1,1,5,7,6,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,5000 SW SPOKANE ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
GENEVA ELEMENTARY SCHOOL,2016-17,Y,62,85.5%,11.3%,1.6%,1.6%,0.0%,1.6%,0.0%,0.0%,90.3%,90.3%,90.3%,88.7%,93.5%,85.5%,53,7,1,1,0,1,0,0,6,6,6,7,4,9,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,1401 GENEVA ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
GEORGE C MARSHALL ELEMENTARY,2016-17,Y,75,94.7%,0.0%,1.3%,4.0%,1.3%,2.7%,0.0%,0.0%,97.3%,97.3%,96.0%,94.7%,97.3%,97.3%,71,0,1,3,1,2,0,0,2,2,3,4,2,2,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,6400 MACARTHUR BLVD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
GEORGE ELEMENTARY,2016-17,Y,38,92.1%,0.0%,7.9%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,94.7%,97.4%,100.0%,97.4%,35,0,3,0,0,0,0,0,0,0,2,1,0,1,PUBLIC SCHOOL,QUINCY SCHOOL DISTRICT,101 S. WASHINGTON WAY,QUINCY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,1,0,
GEORGE T. DANIEL ELEMENTARY SCHOOL,2016-17,Y,82,62.2%,3.7%,32.9%,1.2%,0.0%,1.2%,0.0%,0.0%,72.0%,72.0%,73.2%,76.8%,87.8%,73.2%,51,3,27,1,0,1,0,0,23,23,22,19,10,22,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,11310 SE 248TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
GEORGE WASHINGTON BUSH MIDDLE SCH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,2120 83RD AVENUE SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,7-8,0,0,
GESS ELEMENTARY,2016-17,Y,47,78.7%,8.5%,0.0%,12.8%,4.3%,10.6%,0.0%,0.0%,83.0%,83.0%,85.1%,89.4%,87.2%,83.0%,37,4,0,6,2,5,0,0,8,8,7,5,6,8,PUBLIC SCHOOL,CHEWELAH SCHOOL DISTRICT,P.O. BOX 7,CHEWELAH,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,
GIBSON EK HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,379 1ST PL SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
GIDDENS SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,620 20TH AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,1,0,
GIG HARBOR ACADEMY,2016-17,Y,7,85.7%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,100.0%,100.0%,85.7%,100.0%,100.0%,6,1,0,0,0,0,0,0,1,0,0,1,0,0,PRIVATE SCHOOL,PENINSULA SCHOOL DISTRICT,6820 33RD ST NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,1,0,
GIG HARBOR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,5101 ROSEDALE ST NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
GILBERT ELEMENTARY SCHOOL,2016-17,Y,94,91.5%,3.2%,5.3%,0.0%,0.0%,0.0%,0.0%,0.0%,94.7%,94.7%,95.7%,93.6%,96.8%,95.7%,86,3,5,0,0,0,0,0,5,5,4,6,3,4,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,4400 DOUGLAS DR,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
GILDO REY ELEMENTARY SCHOOL,2016-17,Y,102,91.2%,1.0%,3.9%,3.9%,1.0%,2.0%,1.0%,0.0%,93.1%,93.1%,92.2%,93.1%,96.1%,92.2%,93,1,4,4,1,2,1,0,7,7,8,7,4,8,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,1005 37TH ST SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
GLACIER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WHITE RIVER SCHOOL DISTRICT,PO BOX 1683,BUCKLEY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
