School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
10TH STREET SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
49TH STREET ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),14619B NE 49TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y
A G WEST BLACK HILLS HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUMWATER SCHOOL DISTRICT,7741 LITTLEROCK ROAD SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
A J WEST ELEMENTARY,2014-15,72,90.3%,9.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.2%,97.2%,90.3%,97.2%,97.2%,91.7%,65,7,0,0,0,0,0,0,2,2,7,2,2,6,Y,ABERDEEN SCHOOL DISTRICT,1801 BAY AVE,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
ABRAHAM LINCOLN ELEMENTARY,2014-15,84,97.6%,1.2%,0.0%,1.2%,0.0%,1.2%,0.0%,0.0%,98.8%,98.8%,98.8%,98.8%,98.8%,97.6%,82,1,0,1,0,1,0,0,1,1,1,1,1,2,Y,WENATCHEE SCHOOL DISTRICT,1224 METHOW ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
ACADEMIC INSTITUTE,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,13400 NE 20TH SUITE 47,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
ACADEMY FOR PRECISION LEARNING,2014-15,4,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,100.0%,100.0%,75.0%,100.0%,75.0%,75.0%,3,0,0,1,0,1,0,0,0,0,1,0,1,1,Y,SEATTLE PUBLIC SCHOOLS,5031 UNIVERSITY WAY NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-9,Y,Y
ACADEMY NW/FAMILY ACADEMY,2014-15,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ARLINGTON SCHOOL DISTRICT,23420 JORDAN RD,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,4424 SOUTH 188TH STREET,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ACADEMY OF CONST AND ENGINEERING,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,8301 84TH STREET NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ACADEMY SCHOOLS / CHILDREN’S ACADEMY,2014-15,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUKWILA SCHOOL DISTRICT,14601 INTERURBAN AVE S,TUKWILA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
ACCELERATION ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BETHEL SCHOOL DISTRICT,16218 PACIFIC AVE,SPANAWAY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
ACES HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MUKILTEO SCHOOL DISTRICT,9700 HOLLY DRIVE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ACME ELEMENTARY,2014-15,32,62.5%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,68.8%,68.8%,71.9%,68.8%,87.5%,68.8%,20,0,12,0,0,0,0,0,10,10,9,10,4,10,Y,MOUNT BAKER SCHOOL DISTRICT,5200 TURKINGTON RD,ACME,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
ADAMS ELEMENTARY,2014-15,65,93.8%,1.5%,0.0%,4.6%,0.0%,3.1%,1.5%,0.0%,95.4%,95.4%,95.4%,95.4%,96.9%,96.9%,61,1,0,3,0,2,1,0,3,3,3,3,2,2,Y,CENTRAL VALLEY SCHOOL DISTRICT,14707 E 8TH AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
ADAMS ELEMENTARY,2014-15,52,73.1%,0.0%,17.3%,9.6%,0.0%,3.8%,0.0%,0.0%,82.7%,82.7%,78.8%,80.8%,92.3%,75.0%,38,0,9,5,0,2,0,0,9,9,11,10,4,13,Y,SPOKANE SCHOOL DISTRICT,2909-E 37 AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
ADAMS ELEMENTARY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WAPATO SCHOOL DISTRICT,1309 S CAMAS AVE,WAPATO,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
ADAMS ELEMENTARY SCHOOL,2014-15,106,59.4%,1.9%,35.8%,2.8%,0.0%,2.8%,0.0%,0.0%,100.0%,100.0%,83.0%,72.6%,81.1%,78.3%,63,2,38,3,0,3,0,0,0,0,18,29,20,23,Y,SEATTLE PUBLIC SCHOOLS,6110 28 AV NW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ADAMS ELEMENTARY SCHOOL,2014-15,110,91.8%,0.0%,5.5%,2.7%,2.7%,0.0%,0.0%,0.0%,96.4%,96.4%,96.4%,95.5%,94.5%,96.4%,101,0,6,3,3,0,0,0,4,4,4,5,6,4,Y,YAKIMA SCHOOL DISTRICT,723 S 8TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
ADELAIDE ELEMENTARY SCHOOL,2014-15,69,81.2%,7.2%,8.7%,2.9%,1.4%,0.0%,0.0%,1.4%,88.4%,88.4%,85.5%,91.3%,89.9%,84.1%,56,5,6,2,1,0,0,1,8,8,10,6,7,11,Y,FEDERAL WAY SCHOOL DISTRICT,1635 SW 304TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ADNA ELEMENTARY SCHOOL,2014-15,41,95.1%,0.0%,2.4%,2.4%,0.0%,2.4%,0.0%,0.0%,97.6%,97.6%,97.6%,97.6%,97.6%,95.1%,39,0,1,1,0,1,0,0,1,1,1,1,1,2,Y,ADNA SCHOOL DISTRICT,P.O. BOX 28,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N
ADNA MIDDLE/HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ADNA SCHOOL DISTRICT,P.O. BOX 148,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y
AHTANUM VALLEY ELEMENTARY,2014-15,54,87.0%,1.9%,9.3%,1.9%,0.0%,1.9%,0.0%,0.0%,94.4%,94.4%,94.4%,94.4%,90.7%,92.6%,47,1,5,1,0,1,0,0,3,3,3,3,5,4,Y,WEST VALLEY SCHOOL DISTRICT (YAKIMA),3006 S WILEY RD,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
AIM HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOHOMISH SCHOOL DISTRICT,1601 AVENUE D,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
AKI KUROSE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,3928 S GRAHAM ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
ALBERT EINSTEIN MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SHORELINE SCHOOL DISTRICT,19343 3RD AVENUE N.W.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
ALCOTT ELEMENTARY,2014-15,83,47.0%,0.0%,51.8%,1.2%,0.0%,1.2%,0.0%,0.0%,75.9%,75.9%,71.1%,63.9%,84.3%,69.9%,39,0,43,1,0,1,0,0,20,20,24,30,13,25,Y,LAKE WASHINGTON SCHOOL DISTRICT,4213 - 228TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ALCUIN SCHOOL,2014-15,12,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,216 W BOSTON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N
ALDERWOOD ELEMENTARY SCHOOL,2014-15,44,68.2%,2.3%,20.5%,9.1%,2.3%,6.8%,0.0%,0.0%,77.3%,77.3%,77.3%,77.3%,79.5%,72.7%,30,1,9,4,1,3,0,0,10,10,10,10,9,12,Y,BELLINGHAM SCHOOL DISTRICT,3400 HOLLYWOOD AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
ALDERWOOD MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,20000 28TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
ALFARETTA HOUSE,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLOVER PARK SCHOOL DISTRICT,10903 GRAVELLY LAKE DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
"ALGER LEARNING CENTER, INC.",2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MOUNT BAKER SCHOOL DISTRICT,121 ALDER DR,SEDRO-WOOLLEY,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
ALKI ELEMENTARY SCHOOL,2014-15,89,91.0%,0.0%,5.6%,3.4%,1.1%,2.2%,0.0%,0.0%,100.0%,100.0%,95.5%,94.4%,95.5%,91.0%,81,0,5,3,1,2,0,0,0,0,4,5,4,8,Y,SEATTLE PUBLIC SCHOOLS,3010 59 AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ALKI MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,1800 NW BLISS RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
ALL SAINTS CATHOLIC SCHOOL,2014-15,33,87.9%,9.1%,0.0%,3.0%,0.0%,3.0%,0.0%,0.0%,97.0%,97.0%,97.0%,93.9%,97.0%,90.9%,29,3,0,1,0,1,0,0,1,1,1,2,1,3,Y,SPOKANE SCHOOL DISTRICT,3510 E 18TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
ALL SAINTS SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,FIFE SCHOOL DISTRICT,2323 54TH AVE E,FIFE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
ALL SAINTS SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUYALLUP SCHOOL DISTRICT,504 2ND ST SW,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-8,N,Y
ALLEN CREEK ELEMENTARY SCHOOL,2014-15,67,97.0%,1.5%,0.0%,1.5%,0.0%,1.5%,0.0%,0.0%,98.5%,98.5%,97.0%,98.5%,98.5%,97.0%,65,1,0,1,0,1,0,0,1,1,2,1,1,2,Y,MARYSVILLE SCHOOL DISTRICT,6505 60TH DR NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
ALLEN ELEMENTARY,2014-15,54,85.2%,5.6%,5.6%,3.7%,1.9%,1.9%,0.0%,0.0%,90.7%,90.7%,94.4%,90.7%,92.6%,92.6%,46,3,3,2,1,1,0,0,5,5,3,5,4,4,Y,BURLINGTON-EDISON SCHOOL DISTRICT,17145 COOK ROAD,BOW,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
ALMIRA COULEE HARTLINE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COULEE-HARTLINE SCHOOL DISTRICT,413 N. 4TH STREET,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
ALMIRA ELEMENTARY SCHOOL,2014-15,8,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,87.5%,87.5%,87.5%,87.5%,87.5%,75.0%,6,0,0,2,0,2,0,0,1,1,1,1,1,2,Y,ALMIRA SCHOOL DISTRICT,PO BOX 217,ALMIRA,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
ALPAC ELEMENTARY SCHOOL,2014-15,92,77.2%,1.1%,14.1%,7.6%,2.2%,5.4%,0.0%,0.0%,82.6%,82.6%,85.9%,81.5%,85.9%,85.9%,71,1,13,7,2,5,0,0,16,16,13,17,13,13,Y,AUBURN SCHOOL DISTRICT,310 MILWAUKEE BLVD N,PACIFIC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ALTA VISTA SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BREMERTON SCHOOL DISTRICT,245 4TH ST SUITE 303,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-12,N,N
ALTERNATIVE BANCROFT SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SPOKANE SCHOOL DISTRICT,1025 W SPOFFORD AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-12,N,Y
ALTERNATIVE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL KITSAP SCHOOL DISTRICT,10120 FRONTIER PLACE NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,10-12,N,N
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,METHOW VALLEY SCHOOL DISTRICT,18 TWIN LAKES RD.,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
AMAZING GRACE CHRISTIAN SCHOOL,2014-15,59,88.1%,0.0%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,94.9%,94.9%,96.6%,98.3%,94.9%,52,0,7,0,0,0,0,0,0,3,3,2,1,3,Y,SEATTLE PUBLIC SCHOOLS,10056 RENTON AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
AMBOY MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,22115 NE CHELATCHIE RD,AMBOY,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
AMERICA'S CHILD MONTESSORI,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,14340 NE 21ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
AMISTAD ELEMENTARY SCHOOL,2014-15,98,93.9%,6.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.9%,94.9%,96.9%,94.9%,98.0%,95.9%,92,6,0,0,0,0,0,0,5,5,3,5,2,4,Y,KENNEWICK SCHOOL DISTRICT,930 WEST 4TH AVENUE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
ANACORTES HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ANACORTES SCHOOL DISTRICT,1600 20TH STREET,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ANACORTES MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ANACORTES SCHOOL DISTRICT,2202 M AVENUE,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
ANDERSON ISLAND ELEMENTARY,2014-15,6,33.3%,33.3%,16.7%,16.7%,0.0%,16.7%,0.0%,0.0%,66.7%,66.7%,83.3%,50.0%,66.7%,50.0%,2,2,1,1,0,1,0,0,2,2,1,3,2,3,Y,STEILACOOM HIST. SCHOOL DISTRICT,510 CHAMBERS,STEILACOOM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ANGELO GIAUDRONE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,4902 S ALASKA ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
ANNIE WRIGHT SCHOOL,2014-15,27,77.8%,3.7%,7.4%,11.1%,0.0%,11.1%,0.0%,0.0%,96.3%,96.3%,92.6%,96.3%,96.3%,88.9%,21,1,2,3,0,3,0,0,1,1,2,1,1,3,Y,TACOMA SCHOOL DISTRICT,827 TACOMA AVE N,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
APOLLO ELEMENTARY,2014-15,90,94.4%,0.0%,0.0%,5.6%,3.3%,2.2%,0.0%,0.0%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,85,0,0,5,3,2,0,0,4,4,4,4,4,4,Y,ISSAQUAH SCHOOL DISTRICT,15025 SE 117TH ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
APOLO HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WINLOCK SCHOOL DISTRICT,241 NORTH MILITARY ROAD,WINLOCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y
APP AT LINCOLN,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
APPLE VALLEY ELEMENTARY,2014-15,66,98.5%,0.0%,0.0%,1.5%,1.5%,0.0%,0.0%,0.0%,100.0%,100.0%,98.5%,100.0%,100.0%,98.5%,65,0,0,1,1,0,0,0,0,0,1,0,0,1,Y,WEST VALLEY SCHOOL DISTRICT (YAKIMA),7 N 88TH AVENUE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,2014-15,8,62.5%,0.0%,0.0%,37.5%,0.0%,37.5%,0.0%,0.0%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,5,0,0,3,0,3,0,0,3,3,3,3,3,3,Y,SEATTLE PUBLIC SCHOOLS,520 NE RAVENNA BLVD,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y
ARBOR HEIGHTS ELEMENTARY SCHOOL,2014-15,67,68.7%,0.0%,31.3%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,82.1%,80.6%,91.0%,76.1%,46,0,21,0,0,0,0,0,0,0,12,13,6,16,Y,SEATTLE PUBLIC SCHOOLS,3701 SW 104 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARBOR SCHOOLS,2014-15,8,50.0%,37.5%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,50.0%,50.0%,50.0%,87.5%,87.5%,50.0%,4,3,0,1,0,1,0,0,4,4,4,1,1,4,Y,ISSAQUAH SCHOOL DISTRICT,1107 228TH AVE SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-9,Y,Y
ARCADIA ELEMENTARY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,DEER PARK SCHOOL DISTRICT,"E. 1120 ""D"" STREET",DEER PARK,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-5,N,N
ARCHBISHOP THOMAS J. MURPHY HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,EVERETT SCHOOL DISTRICT,12911 39TH AVE SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ARDMORE ELEMENTARY SCHOOL,2014-15,71,87.3%,0.0%,8.5%,4.2%,0.0%,4.2%,0.0%,0.0%,93.0%,100.0%,91.5%,90.1%,93.0%,93.0%,62,0,6,3,0,3,0,0,5,0,6,7,5,5,Y,BELLEVUE SCHOOL DISTRICT,16616 NE 32ND ST.,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ARLINGTON CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,ARLINGTON SCHOOL DISTRICT,2425 200TH NE,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
