School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
SKY VALLEY OPTIONS,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SULTAN SCHOOL DISTRICT,514 4TH STEET,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
SKYKOMISH ELEMENTARY AND MIDDLE SCHOOL,2014-15,6,0.0%,16.7%,33.3%,50.0%,16.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,0,1,2,3,1,2,0,0,6,6,6,6,5,6,Y,SKYKOMISH SCHOOL DISTRICT,105 6TH ST N,SKYKOMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y
SKYKOMISH HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SKYKOMISH SCHOOL DISTRICT,105 6TH ST N,SKYKOMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
SKYLINE ELEMENTARY,2014-15,78,52.6%,1.3%,46.2%,0.0%,0.0%,0.0%,0.0%,0.0%,60.3%,60.3%,59.0%,62.8%,74.4%,71.8%,41,1,36,0,0,0,0,0,31,31,32,29,20,22,Y,LAKE STEVENS SCHOOL DISTRICT,1033 91ST AVE SE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
SKYLINE ELEMENTARY SCHOOL,2014-15,75,78.7%,1.3%,18.7%,1.3%,0.0%,1.3%,0.0%,0.0%,92.0%,92.0%,90.7%,88.0%,90.7%,92.0%,59,1,14,1,0,1,0,0,6,6,7,9,7,6,Y,FERNDALE SCHOOL DISTRICT,2225 THORNTON RD,FERNDALE,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-6,Y,Y
SKYLINE ELEMENTARY SCHOOL,2014-15,66,92.4%,1.5%,1.5%,4.5%,4.5%,0.0%,0.0%,0.0%,97.0%,98.5%,97.0%,98.5%,98.5%,98.5%,61,1,1,3,3,0,0,0,2,1,2,1,1,1,Y,TACOMA SCHOOL DISTRICT,2301 N MILDRED ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
SKYLINE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,1122 228TH AVE SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
SKYRIDGE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CAMAS SCHOOL DISTRICT,5220 NW PARKER STREET,CAMAS,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
SKYVIEW HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,1300 NW 139TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
SKYVIEW JUNIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,21404 35 AV SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
