School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
CHIEF MOSES MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MOSES LAKE SCHOOL DISTRICT,1111 E NELSON ROAD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,N,Y
CHIEF SEALTH INTERNATIONAL HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,2600 SW THISTLE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CHIEF UMTUCH MIDDLE,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
"CHILD DEVELOPMENT PROGRAM, WSU VANCOUVER",2013-14,18,94.4%,0.0%,0.0%,5.6%,0.0%,5.6%,0.0%,0.0%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,17,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,BATTLE GROUND SCHOOL DISTRICT,14204 NE SALMON CREEK AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K+,Y,N
CHILD SCHOOL-NEW HEIGHTS SCHOOL AT CHILDREN'S INSTITUTE FOR LEARNING DIFFERENCES (CHILD),2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MERCER ISLAND SCHOOL DISTRICT,4030 86TH AVE SE,MERCER ISLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
CHILDRENS GARDEN MONTESSORI,2013-14,31,87.1%,0.0%,0.0%,12.9%,12.9%,0.0%,0.0%,0.0%,93.5%,93.5%,90.3%,93.5%,90.3%,90.3%,27,0,0,4,4,0,0,0,2,2,3,2,3,3,Y,RICHLAND SCHOOL DISTRICT,2440 GARLICK BLVD,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,1-2,N,N
CHIMACUM CREEK PRIMARY SCHOOL,2013-14,79,89.9%,0.0%,2.5%,7.6%,1.3%,6.3%,0.0%,0.0%,93.7%,93.7%,94.9%,93.7%,93.7%,93.7%,71,0,2,6,1,5,0,0,5,5,4,5,5,5,Y,CHIMACUM SCHOOL DISTRICT,313 NESS CORNER RD,PORT HADLOCK,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -2,Y,N
CHIMACUM ELEMENTARY SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CHIMACUM SCHOOL DISTRICT,PO BOX 278,CHIMACUM,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,3-5,N,N
CHIMACUM HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CHIMACUM SCHOOL DISTRICT,PO BOX 278,CHIMACUM,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
CHIMACUM MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CHIMACUM SCHOOL DISTRICT,PO BOX 278,CHIMACUM,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,N,Y
CHINOOK ELEMENTARY SCHOOL,2013-14,69,59.4%,4.3%,36.2%,0.0%,0.0%,0.0%,0.0%,0.0%,75.4%,75.4%,78.3%,73.9%,88.4%,79.7%,41,3,25,0,0,0,0,0,17,17,15,18,8,14,Y,AUBURN SCHOOL DISTRICT,3502 AUBURN WAY S,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CHINOOK ELEMENTARY SCHOOL,2013-14,121,93.4%,1.7%,1.7%,3.3%,1.7%,1.7%,0.0%,0.0%,95.0%,95.0%,96.7%,95.9%,95.9%,95.9%,113,2,2,4,2,2,0,0,6,6,4,5,5,5,Y,VANCOUVER SCHOOL DISTRICT,1900 NW BLISS RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
CHINOOK MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,2001  98TH AVENUE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
CHINOOK MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,18650 42ND AVE S,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
CHINOOK MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,4301 6TH AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,7-8,N,N
CHLOE CLARK ELEMENTARY,2013-14,166,94.6%,2.4%,0.0%,3.0%,0.6%,2.4%,0.0%,0.0%,97.0%,97.0%,98.2%,97.6%,97.0%,96.4%,157,4,0,5,1,4,0,0,5,5,3,4,5,6,Y,STEILACOOM HIST. SCHOOL DISTRICT,1700 PALISADE BOULEVARD,DUPONT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -3,Y,N
CHOICE,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,RIVERVIEW SCHOOL DISTRICT,32302 NE 50TH ST,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-10,N,N
CHOICE ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,18367 8TH AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
CHOICE ALTERNATIVE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SHELTON SCHOOL DISTRICT,807 W. PINE ST.,SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,K -12,Y,Y
CHRIST THE KING LUTHERAN SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CENTRAL KITSAP SCHOOL DISTRICT,8065 CHICO WAY NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y
CHRIST THE KING SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RICHLAND SCHOOL DISTRICT,1122 LONG AVE,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
CHRIST THE KING SCHOOL,2013-14,25,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,415 N 117TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CHRISTENSEN ELEMENTARY,2013-14,67,86.6%,7.5%,0.0%,6.0%,0.0%,6.0%,0.0%,0.0%,91.0%,91.0%,91.0%,86.6%,91.0%,92.5%,58,5,0,4,0,4,0,0,6,6,6,9,6,5,Y,FRANKLIN PIERCE SCHOOL DISTRICT,10232 BARNES LANE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CHRISTIAN FAITH SCHOOL,2013-14,17,88.2%,0.0%,0.0%,11.8%,0.0%,11.8%,0.0%,0.0%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,15,0,0,2,0,2,0,0,2,2,2,2,2,2,Y,FEDERAL WAY SCHOOL DISTRICT,33645 20TH AVE S,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
CHRISTIAN HERITAGE SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,REARDAN-EDWALL SCHOOL DISTRICT,48009 IDA AVE E,EDWALL,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y
CHRISTIAN WORSHIP CENTER ELEMENTARY,2013-14,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ZILLAH SCHOOL DISTRICT,204 CHEYNE RD,ZILLAH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-12,Y,Y
CHRYSALIS SCHOOL (9-12),2013-14,4,75.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,1,0,0,0,0,0,1,1,1,1,1,1,Y,NORTHSHORE SCHOOL DISTRICT,18720 142ND AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CHRYSALIS SCHOOL (K-8),2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,NORTHSHORE SCHOOL DISTRICT,17005 140TH AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
CLALLAM BAY HIGH AND ELEMENTARY,2013-14,11,72.7%,0.0%,18.2%,9.1%,0.0%,9.1%,0.0%,0.0%,81.8%,81.8%,81.8%,81.8%,72.7%,81.8%,8,0,2,1,0,1,0,0,2,2,2,2,3,2,Y,CAPE FLATTERY SCHOOL DISTRICT,16933 HWY 112,CLALLAM BAY,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y
CLARK COUNTY SKILLS CENTER,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),12200 NE 28TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
CLARK ELEMENTARY,2013-14,94,91.5%,2.1%,2.1%,4.3%,0.0%,4.3%,0.0%,0.0%,95.7%,95.7%,94.7%,95.7%,93.6%,93.6%,86,2,2,4,0,4,0,0,4,4,5,4,6,6,Y,ISSAQUAH SCHOOL DISTRICT,500 2ND AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CLARKMOOR ELEMENTARY SCHOOL,2013-14,75,92.0%,2.7%,1.3%,4.0%,4.0%,0.0%,0.0%,0.0%,96.0%,96.0%,93.3%,94.7%,97.3%,94.7%,69,2,1,3,3,0,0,0,3,3,5,4,2,4,Y,CLOVER PARK SCHOOL DISTRICT,SOUTH DIVISON AND LIGGETT,FORT LEWIS,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CLARKSTON (CHARLES FRANCIS ADAMS) HIGH SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CLARKSTON SCHOOL DISTRICT,401 CHESTNUT ST,CLARKSTON,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CLE ELUM ROSLYN ELEMENTARY,2013-14,65,90.8%,0.0%,3.1%,6.2%,3.1%,3.1%,0.0%,0.0%,96.9%,96.9%,96.9%,95.4%,95.4%,95.4%,59,0,2,4,2,2,0,0,2,2,2,3,3,3,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,2696 SR 903,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
CLE ELUM ROSLYN HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,2692 SR 903,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CLEAR CREEK ELEMENTARY SCHOOL,2013-14,97,92.8%,1.0%,4.1%,2.1%,1.0%,0.0%,1.0%,0.0%,96.9%,96.9%,96.9%,97.9%,94.8%,97.9%,90,1,4,2,1,0,1,0,3,3,3,2,5,2,Y,CENTRAL KITSAP SCHOOL DISTRICT,3999 NW SUNDE ROAD,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
CLEAR LAKE ELEMENTARY SCHOOL,2013-14,36,80.6%,13.9%,0.0%,5.6%,0.0%,5.6%,0.0%,0.0%,88.9%,88.9%,91.7%,86.1%,94.4%,86.1%,29,5,0,2,0,2,0,0,4,4,3,5,2,5,Y,SEDRO-WOOLLEY SCHOOL DISTRICT,PO BOX 128,CLEAR LAKE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
CLEVELAND HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,5511 15 AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLIP,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,RIVERVIEW SCHOOL DISTRICT,32302 NE 50TH ST,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVER CREEK ELEMENTARY,2013-14,91,91.2%,1.1%,5.5%,2.2%,2.2%,0.0%,0.0%,0.0%,93.4%,93.4%,92.3%,93.4%,97.8%,94.5%,83,1,5,2,2,0,0,0,6,6,7,6,2,5,Y,BETHEL SCHOOL DISTRICT,16715 36TH AVE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CLOVER PARK HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLOVER PARK SCHOOL DISTRICT,11023 GRAVELLY LK DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVIS POINT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EASTMONT SCHOOL DISTRICT,1855 4TH ST SE,EAST WENATCHEE,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-7,N,Y
CLYDE HILL ELEMENTARY,2013-14,101,81.2%,0.0%,12.9%,5.9%,2.0%,4.0%,0.0%,0.0%,94.1%,100.0%,89.1%,94.1%,93.1%,92.1%,82,0,13,6,2,4,0,0,6,0,11,6,7,8,Y,BELLEVUE SCHOOL DISTRICT,9601 NE 24TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COLBERT ELEMENTARY SCHOOL,2013-14,38,92.1%,2.6%,0.0%,5.3%,2.6%,0.0%,2.6%,0.0%,94.7%,94.7%,94.7%,97.4%,94.7%,94.7%,35,1,0,2,1,0,1,0,2,2,2,1,2,2,Y,MEAD SCHOOL DISTRICT,4625 E GREENBLUFF RD,COLBERT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
COLFAX HIGH SCHOOL,2013-14,43,97.7%,0.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.7%,42,0,1,0,0,0,0,0,0,0,0,0,0,1,Y,COLFAX SCHOOL DISTRICT,1110 N. MORTON STREET,COLFAX,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
COLLEGE PLACE ELEMENTARY,2013-14,93,87.1%,2.2%,2.2%,8.6%,5.4%,3.2%,0.0%,0.0%,89.2%,89.2%,90.3%,90.3%,94.6%,89.2%,81,2,2,8,5,3,0,0,10,10,9,9,5,10,Y,EDMONDS SCHOOL DISTRICT,20401 76TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
COLLEGE PLACE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,7501 208TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
COLLINS ELEMENTARY,2013-14,78,93.6%,2.6%,0.0%,3.8%,0.0%,2.6%,1.3%,0.0%,98.7%,98.7%,93.6%,98.7%,97.4%,93.6%,73,2,0,3,0,2,1,0,1,1,5,1,2,5,Y,FRANKLIN PIERCE SCHOOL DISTRICT,4608 128TH ST E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
COLTON SCHOOL,2013-14,11,54.5%,0.0%,27.3%,18.2%,0.0%,9.1%,0.0%,9.1%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,6,0,3,2,0,1,0,1,5,5,5,5,5,5,Y,COLTON SCHOOL DISTRICT,706 UNION,COLTON,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA ADVENTIST ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,11100 NE 189TH ST,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA BASIN SECONDARY SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MOSES LAKE SCHOOL DISTRICT,6527 PATTON BLVD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-12,N,Y
COLUMBIA CREST ELEMENTARY SCHOOL,2013-14,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EATONVILLE SCHOOL DISTRICT,24503 STATE ROUTE 706 E,ASHFORD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COLUMBIA ELEMENTARY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COLUMBIA ELEMENTARY,2013-14,84,89.3%,0.0%,7.1%,3.6%,0.0%,3.6%,0.0%,0.0%,97.6%,100.0%,94.0%,95.2%,92.9%,92.9%,75,0,6,3,0,3,0,0,2,0,5,4,6,6,Y,MUKILTEO SCHOOL DISTRICT,10520 HARBOUR POINTE BLVD,MUKILTEO,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2013-14,44,29.5%,0.0%,65.9%,4.5%,0.0%,4.5%,0.0%,0.0%,40.9%,40.9%,43.2%,40.9%,47.7%,34.1%,13,0,29,2,0,2,0,0,26,26,25,26,23,29,Y,BELLINGHAM SCHOOL DISTRICT,2508 UTTER ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2013-14,83,98.8%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,98.8%,100.0%,82,0,1,0,0,0,0,0,0,0,0,0,1,0,Y,WENATCHEE SCHOOL DISTRICT,600 ALASKA ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COLUMBIA GORGE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,STEVENSON-CARSON SCHOOL DISTRICT,441 HOT SPRINGS AVENUE,CARSON,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K-12,Y,Y
COLUMBIA HEIGHTS ELEMENTARY,2013-14,72,88.9%,6.9%,1.4%,2.8%,1.4%,1.4%,0.0%,0.0%,97.2%,97.2%,97.2%,97.2%,91.7%,94.4%,64,5,1,2,1,1,0,0,2,2,2,2,6,4,Y,LONGVIEW SCHOOL DISTRICT,2820 PARKVIEW DRIVE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA HIGH AND ELEMENTARY,2013-14,4,75.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,100.0%,100.0%,100.0%,100.0%,3,1,0,0,0,0,0,0,1,1,0,0,0,0,Y,COLUMBIA (STEVENS) SCHOOL DISTRICT,PO BOX 7,HUNTERS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COLUMBIA HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WHITE SALMON VALLEY SCHOOL DISTRICT,PO BOX 1339,WHITE SALMON,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA JUNIOR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FIFE SCHOOL DISTRICT,2901 54TH AVENUE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
COLUMBIA MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
COLUMBIA RIDGE ELEMENTARY,2013-14,97,86.6%,1.0%,11.3%,1.0%,0.0%,1.0%,0.0%,0.0%,90.7%,90.7%,88.7%,90.7%,93.8%,86.6%,84,1,11,1,0,1,0,0,9,9,11,9,6,13,Y,EPHRATA SCHOOL DISTRICT,60 H SE,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
COLUMBIA RIVER HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,800 NW 99TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
