School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
ADAMS ELEMENTARY,2013-14,66,83.3%,0.0%,10.6%,6.1%,1.5%,3.0%,1.5%,0.0%,92.4%,92.4%,92.4%,95.5%,95.5%,87.9%,55,0,7,4,1,2,1,0,5,5,5,3,3,8,Y,CENTRAL VALLEY SCHOOL DISTRICT,14707 E 8TH AVENUE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
ADAMS ELEMENTARY,2013-14,48,81.3%,0.0%,10.4%,8.3%,4.2%,2.1%,0.0%,0.0%,89.6%,89.6%,91.7%,89.6%,85.4%,91.7%,39,0,5,4,2,1,0,0,5,5,4,5,7,4,Y,SPOKANE SCHOOL DISTRICT,2909-E 37 AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
ADAMS ELEMENTARY,2013-14,44,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WAPATO SCHOOL DISTRICT,1309 S CAMAS AVE,WAPATO,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
ADAMS ELEMENTARY SCHOOL,2013-14,89,57.3%,1.1%,39.3%,2.2%,1.1%,1.1%,0.0%,0.0%,100.0%,100.0%,79.8%,77.5%,83.1%,71.9%,51,1,35,2,1,1,0,0,0,0,18,20,15,25,Y,SEATTLE PUBLIC SCHOOLS,6110 28 AV NW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ADAMS ELEMENTARY SCHOOL,2013-14,107,68.2%,0.0%,31.8%,0.0%,0.0%,0.0%,0.0%,0.0%,75.7%,75.7%,76.6%,72.9%,90.7%,76.6%,73,0,34,0,0,0,0,0,26,26,25,29,10,25,Y,YAKIMA SCHOOL DISTRICT,723 S 8TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
ADELAIDE ELEMENTARY SCHOOL,2013-14,73,90.4%,1.4%,4.1%,4.1%,0.0%,4.1%,0.0%,0.0%,94.5%,94.5%,97.3%,95.9%,94.5%,95.9%,66,1,3,3,0,3,0,0,4,4,2,3,4,3,Y,FEDERAL WAY SCHOOL DISTRICT,1635 SW 304TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ADNA ELEMENTARY SCHOOL,2013-14,44,81.8%,2.3%,11.4%,4.5%,0.0%,4.5%,0.0%,0.0%,88.6%,88.6%,86.4%,86.4%,93.2%,86.4%,36,1,5,2,0,2,0,0,5,5,6,6,3,6,Y,ADNA SCHOOL DISTRICT,P.O. BOX 28,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N
ADNA MIDDLE/HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ADNA SCHOOL DISTRICT,P.O. BOX 148,ADNA,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y
AHTANUM VALLEY ELEMENTARY,2013-14,58,98.3%,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,98.3%,100.0%,57,0,1,0,0,0,0,0,0,0,0,0,1,0,Y,WEST VALLEY SCHOOL DISTRICT (YAKIMA),3006 S WILEY RD,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
AIM HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOHOMISH SCHOOL DISTRICT,1601 AVENUE D,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
AKI KUROSE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,3928 S GRAHAM ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
ALBERT EINSTEIN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SHORELINE SCHOOL DISTRICT,19343 3RD AVENUE N.W.,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
ALCOTT ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,LAKE WASHINGTON SCHOOL DISTRICT,4213 - 228TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ALCUIN SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,216 W BOSTON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N
