School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
GOSPEL OUTREACH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Olympia School District,1925 South Bay Rd,Olympia,THURSTON,Educational Service District 113,0,1
Can Learn Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Mead School District,8415 N Wall St Suite B291,Spokane,SPOKANE,Educational Service District 101,1,1
Discovery Depot Montessori,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Central Kitsap School District,7333 Tracyton Blvd,Bremerton,KITSAP,Olympic Educational Service District 114,1,0
BRIGHTMONT ACADEMY--SAMMAMISH CAMPUS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,711 228th Ave NE,Sammamish,KING,Puget Sound Educational Service District 121,0,1
Mukilteo Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Mukilteo School District,13000 Beverly Park Rd,Mukilteo,SNOHOMISH,Northwest Educational Service District 189,1,0
Oakridge Ranch - Montessori Farm School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,West Valley School District (Yakima),11002 Orchard Ave,Yakima,YAKIMA,Educational Service District 105,0,1
ST. MARY'S ACADEMY,2017-18,Y,5,60.0%,0.0%,0.0%,40.0%,0.0%,20.0%,20.0%,0.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,3,0,0,2,0,1,1,0,2,2,2,2,2,2,Private,Bethel School District,757 138th St S,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,1
THE SAMMAMISH MONTESSORI SCHOOL,2017-18,Y,35,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,7655 178th Pl NE,Redmond,KING,Puget Sound Educational Service District 121,1,0
BRIGHT WATER SCHOOL,2017-18,Y,30,16.7%,56.7%,0.0%,26.7%,3.3%,23.3%,0.0%,0.0%,50.0%,16.7%,43.3%,33.3%,53.3%,30.0%,5,17,0,8,1,7,0,0,15,25,17,20,14,21,Private,Seattle Public Schools,1501 Tenth Ave E  Suite 100,Seattle,KING,Puget Sound Educational Service District 121,1,1
HARBOR CHRISTIAN SCHOOLS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Peninsula School District,4819 NW Hunt St,Gig Harbor,PIERCE,Puget Sound Educational Service District 121,1,1
JEFFERSON COMMUNITY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Port Townsend School District,280 Quincy St,Port Townsend,JEFFERSON,Olympic Educational Service District 114,0,0
MONTESSORI CHILDREN'S HOUSE,2017-18,Y,16,68.8%,0.0%,25.0%,6.3%,0.0%,6.3%,0.0%,0.0%,87.5%,87.5%,81.3%,75.0%,87.5%,68.8%,11,0,4,1,0,1,0,0,2,2,3,4,2,5,Private,Lake Washington School District,5003 218th Ave NE,Redmond,KING,Puget Sound Educational Service District 121,1,1
ST. MADELEINE SOPHIE SCHOOL,2017-18,Y,14,92.9%,0.0%,0.0%,7.1%,0.0%,7.1%,0.0%,0.0%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,13,0,0,1,0,1,0,0,1,1,1,1,1,1,Private,Bellevue School District,4400 130th Pl SE,Bellevue,KING,Puget Sound Educational Service District 121,1,1
PRIVETT ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Mercer Island School District,9311 SE 36th St,Mercer Island,KING,Puget Sound Educational Service District 121,0,1
TLC MONTESSORI,2017-18,Y,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Lake Washington School District,21512 NE 16th St,Sammamish,KING,Puget Sound Educational Service District 121,1,0
LIVING WISDOM SCHOOL OF SEATTLE,2017-18,Y,6,33.3%,0.0%,0.0%,66.7%,0.0%,66.7%,0.0%,0.0%,66.7%,66.7%,50.0%,66.7%,33.3%,50.0%,2,0,0,4,0,4,0,0,2,2,3,2,4,3,Private,Edmonds School District,6717 212th St SW,Lynwood,KING,Puget Sound Educational Service District 121,1,1
PIONEER MEADOWS MONTESSORI SCHOOL,2017-18,Y,53,98.1%,0.0%,0.0%,1.9%,0.0%,1.9%,0.0%,0.0%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,52,0,0,1,0,1,0,0,1,1,1,1,1,1,Private,Ferndale School District,2377 Douglas Rd,Ferndale,WHATCOM,Northwest Educational Service District 189,1,1
Praise Christian Academy,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Highline School District,1022 SW 151 St,Burien,KING,Puget Sound Educational Service District 121,1,1
PROVIDENCE CLASSICAL CHRISTIAN SCHOOL,2017-18,Y,19,78.9%,0.0%,0.0%,21.1%,0.0%,21.1%,0.0%,0.0%,94.7%,94.7%,78.9%,78.9%,84.2%,84.2%,15,0,0,4,0,4,0,0,1,1,4,4,3,3,Private,Edmonds School District,21500 Cypress Way  Suite B,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,1,1
ST. BASIL ACADEMY OF CLASSICAL STUDIES,2017-18,Y,4,75.0%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,0,0,1,0,1,1,1,1,1,1,Private,Walla Walla Public Schools,2346 S Wilbur,Walla Walla,WALLA WALLA,Educational Service District 123,1,1
Tacoma Waldorf School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Tacoma School District,3315 S 19th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,0
TILDEN SCHOOL,2017-18,Y,16,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Seattle Public Schools,4105 California Ave SW,Seattle,KING,Puget Sound Educational Service District 121,1,0
BEL-RED BILINGUAL ACADEMY,2017-18,Y,39,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,39,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bellevue School District,15061 Bel-Red Rd,Bellevue,KING,Puget Sound Educational Service District 121,1,0
Calvary Chapel Christian School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Central Valley School District,16409 E Broadway Ave,Spokane,SPOKANE,Educational Service District 101,1,1
CHESTNUT HILL ACADEMY SOUTH CAMPUS,2017-18,Y,51,96.1%,0.0%,0.0%,3.9%,0.0%,3.9%,0.0%,0.0%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,49,0,0,2,0,2,0,0,2,2,2,2,2,2,Private,Bellevue School District,13633 SE 26th St,Bellevue,KING,Puget Sound Educational Service District 121,1,1
CORNERSTONE ACADEMY,2017-18,Y,6,83.3%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,83.3%,100.0%,100.0%,100.0%,5,0,1,0,0,0,0,0,0,0,1,0,0,0,Private,Monroe School District,14377 Fryelands Blvd SE,Monroe,SNOHOMISH,Northwest Educational Service District 189,1,1
MONTESSORI SCHOOL OF YAKIMA,2017-18,Y,18,94.4%,0.0%,0.0%,5.6%,0.0%,5.6%,0.0%,0.0%,94.4%,94.4%,94.4%,94.4%,100.0%,94.4%,17,0,0,1,0,1,0,0,1,1,1,1,0,1,Private,Yakima School District,511 N 44th Ave,Yakima,YAKIMA,Educational Service District 105,1,0
LIVING MONTESSORI ACADEMY,2017-18,Y,19,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bellevue School District,2445 140th Ave NE,Bellevue,KING,Puget Sound Educational Service District 121,1,0
QUINCY VALLEY SCHOOL,2017-18,Y,20,85.0%,0.0%,10.0%,5.0%,0.0%,5.0%,0.0%,0.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,17,0,2,1,0,1,0,0,3,3,3,3,3,3,Private,Quincy School District,1804 13th Ave SW,Quincy,GRANT,North Central Educational Service District 171,1,1
ST. MICHAEL CATHOLIC SCHOOL,2017-18,Y,14,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Snohomish School District,1514 Pine Ave,Snohomish,SNOHOMISH,Northwest Educational Service District 189,1,1
OVERCOMER ACADEMY,2017-18,Y,17,17.6%,23.5%,11.8%,47.1%,11.8%,23.5%,11.8%,0.0%,35.3%,35.3%,23.5%,23.5%,29.4%,23.5%,3,4,2,8,2,4,2,0,11,11,13,13,12,13,Private,Federal Way School District,33415 Military Rd S,Auburn,KING,Puget Sound Educational Service District 121,1,1
STILLPOINT SCHOOL,2017-18,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,San Juan Island School District,775 Park St,Friday Harbor,SAN JUAN,Northwest Educational Service District 189,1,1
COLVILLE VALLEY JUNIOR ACADEMY,2017-18,Y,5,20.0%,0.0%,0.0%,80.0%,0.0%,80.0%,0.0%,0.0%,40.0%,40.0%,40.0%,40.0%,40.0%,20.0%,1,0,0,4,0,4,0,0,3,3,3,3,3,4,Private,Colville School District,139 E Cedar LP,Colville,STEVENS,Educational Service District 101,1,1
North Whidbey Christian High,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Oak Harbor School District,675 E Whidbey Ave,Oak Harbor,ISLAND,Northwest Educational Service District 189,0,0
SUMMIT CLASSICAL CHRISTIAN SCHOOL,2017-18,Y,6,33.3%,16.7%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,66.7%,66.7%,66.7%,50.0%,50.0%,33.3%,2,1,0,3,0,3,0,0,2,2,2,3,3,4,Private,Snoqualmie Valley School District,1556 Boalch Ave NW,North Bend,KING,Puget Sound Educational Service District 121,1,1
KAPKA COOPERATIVE SCHOOL,2017-18,Y,15,40.0%,46.7%,0.0%,13.3%,0.0%,13.3%,0.0%,0.0%,53.3%,53.3%,53.3%,40.0%,46.7%,40.0%,6,7,0,2,0,2,0,0,7,7,7,9,8,9,Private,Seattle Public Schools,510 N 49TH STREET,Seattle,KING,Puget Sound Educational Service District 121,1,0
ACADEMY FOR PRECISION LEARNING,2017-18,Y,6,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,4,0,2,0,0,0,0,0,2,2,2,2,2,2,Private,Seattle Public Schools,5031 University Way NE,Seattle,KING,Puget Sound Educational Service District 121,1,1
NORTHWEST LIBERTY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Northshore School District,13120 NE 177th Pl  A-104,Woodinville,KING,Puget Sound Educational Service District 121,0,0
WESTPARK CHRISTIAN ACADEMY,2017-18,Y,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Yakima School District,3902 Summitview Ave,Yakima,YAKIMA,Educational Service District 105,1,1
CEDAR TREE CLASSICAL CHRISTIAN SCHOOL,2017-18,Y,17,41.2%,5.9%,5.9%,47.1%,0.0%,47.1%,0.0%,0.0%,47.1%,47.1%,70.6%,47.1%,52.9%,41.2%,7,1,1,8,0,8,0,0,9,9,5,9,8,10,Private,Battle Ground School District,20601 NE 29th Ave,Ridgefield,CLARK,Educational Service District 112,1,1
UPPER COLUMBIA ACADEMY ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Liberty School District,3025 E Spangle Waverly Rd,Spangle,SPOKANE,Educational Service District 101,1,1
SALVATION CHRISTIAN ACAD - FORMERLY SLAVIC CHRISTIAN ACADEMY-EDGEWOOD,2017-18,Y,18,22.2%,22.2%,0.0%,55.6%,0.0%,55.6%,0.0%,0.0%,27.8%,27.8%,22.2%,27.8%,27.8%,22.2%,4,4,0,10,0,10,0,0,13,13,14,13,13,14,Private,Puyallup School District,10622 8th St E,Edgewood,PIERCE,Puget Sound Educational Service District 121,1,1
SUMMIT CHRISTIAN ACADEMY,2017-18,Y,18,22.2%,0.0%,0.0%,77.8%,0.0%,77.8%,0.0%,0.0%,27.8%,27.8%,33.3%,22.2%,66.7%,50.0%,4,0,0,14,0,14,0,0,13,13,12,14,6,9,Private,Mead School District,8913 N Nettleton Ln,Spokane,SPOKANE,Educational Service District 101,1,1
TACOMA CHRISTIAN ACAD - FORMERLY SLAVIC CHRISTIAN ACADEMY-TACOMA,2017-18,Y,43,32.6%,0.0%,0.0%,67.4%,0.0%,67.4%,0.0%,0.0%,37.2%,39.5%,32.6%,32.6%,32.6%,32.6%,14,0,0,29,0,29,0,0,27,26,29,29,29,29,Private,Tacoma School District,2014 S 15th St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,1
COMMUNITY MONTESSORI,2017-18,Y,6,83.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,5,0,0,1,0,1,0,0,1,1,1,1,1,1,Private,Tacoma School District,1407 South I St,Tacoma,PIERCE,Puget Sound Educational Service District 121,1,1
CAMAS CHRISTIAN ACADEMY (BRIGHT FUTURES CHRISTIAN SCHOOL),2017-18,Y,19,36.8%,5.3%,31.6%,26.3%,0.0%,26.3%,0.0%,0.0%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,7,1,6,5,0,5,0,0,12,12,12,12,12,12,Private,Camas School District,717 SE Everett Rd,Camas,CLARK,Educational Service District 112,1,1
SADDLE MOUNTAIN SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Othello School District,2451 W Bench Rd,Othello,ADAMS,Educational Service District 123,0,1
Serendipity Academy at the Lodge,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Tumwater School District,4841 Tumwater Valley Dr. SE,Tumwater,THURSTON,Educational Service District 113,1,1
TWO RIVERS SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Snoqualmie Valley School District,330 BALLARAT AVE N,North Bend,KING,Puget Sound Educational Service District 121,0,0
HIGH TECH HIGH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Quincy School District,404 1st Ave SW,Quincy,GRANT,North Central Educational Service District 171,0,0
EAGLE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Toppenish School District,143 WARD RD,Toppenish,YAKIMA,Educational Service District 105,0,1
CHALLENGER HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bethel School District,18020 B St E,Spanaway,PIERCE,Puget Sound Educational Service District 121,0,1
HENDERSON BAY ALT HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Peninsula School District,8402 Skansie Ave,Gig Harbor,PIERCE,Puget Sound Educational Service District 121,0,0
SMOKIAM ALTERNATIVE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Soap Lake School District,120 Main Ave E,Soap Lake,GRANT,North Central Educational Service District 171,0,0
Edmonds eLearning Academy,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,20420 68TH AVE W,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,0,0
Challenge Elementary School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,5409 228TH ST SW,Mountlake Terrace,SNOHOMISH,Northwest Educational Service District 189,0,1
SPECIAL ED SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Enumclaw School District,2929 McDougall Avenue,Enumclaw,KING,Puget Sound Educational Service District 121,1,1
MAP,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,610 E North Foothills,Spokane,SPOKANE,Educational Service District 101,0,0
STATE STREET HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sedro-Woolley School District,800 State Street,Sedro-Woolley,SKAGIT,Northwest Educational Service District 189,0,0
SKILSKIN HIGH SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Grand Coulee Dam School District,110 Stevens Ave.,Coulee Dam,GRANT,North Central Educational Service District 171,0,0
CHOICE ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Highline School District,18367 8th Ave S,Seattle,KING,Puget Sound Educational Service District 121,0,0
MIDDLE COLLEGE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,1330 N 90 St,Seattle,KING,Puget Sound Educational Service District 121,0,0
MIDWAY SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Oak Harbor School District,200 SE Midway Blvd,Oak Harbor,ISLAND,Northwest Educational Service District 189,0,0
Eagle Peak School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,1025 W Spofford Ave,Spokane,SPOKANE,Educational Service District 101,0,1
FIR GROVE CHILDRENS CENTER,2017-18,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vancouver School District,2920 FALK RD,Vancouver,CLARK,Educational Service District 112,0,1
TOPS K-8 SCHOOL,2017-18,Y,52,84.6%,0.0%,11.5%,3.8%,0.0%,3.8%,0.0%,0.0%,96.2%,96.2%,90.4%,92.3%,88.5%,92.3%,44,0,6,2,0,2,0,0,2,2,5,4,6,4,Public,Seattle Public Schools,2500 FRANKLIN AV E,Seattle,KING,Puget Sound Educational Service District 121,1,1
SEATTLE WORLD SCHOOL (SECONDARY BOC),2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,301 21st Ave E,Seattle,KING,Puget Sound Educational Service District 121,0,1
Daybreak - A-1 Alternative,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,628 S Cowley St,Spokane,SPOKANE,Educational Service District 101,0,0
Tamarack,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,W 2901 Ft George Wright,Spokane,SPOKANE,Educational Service District 101,0,0
TWIN CEDARS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Concrete School District,45389 Airport Way,Concrete,SKAGIT,Northwest Educational Service District 189,0,0
SKILL SOURCE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Wenatchee School District,233 North Chelan,Wenatchee,CHELAN,North Central Educational Service District 171,0,0
WESTSIDE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Wenatchee School District,1521 Ninth St,Wenatchee,CHELAN,North Central Educational Service District 171,0,0
EDUCATIONAL OPPORTUNITY CENTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clarkston School District,1284 Chestnut St,Clarkston,ASOTIN,Educational Service District 123,0,0
PATHFINDER K-8 SCHOOL,2017-18,Y,51,78.4%,0.0%,13.7%,7.8%,0.0%,7.8%,0.0%,0.0%,92.2%,92.2%,86.3%,90.2%,84.3%,86.3%,40,0,7,4,0,4,0,0,4,4,7,5,8,7,Public,Seattle Public Schools,1901 SW Genesee St,Seattle,KING,Puget Sound Educational Service District 121,1,1
METHOW VALLEY INDEPENDENT  L C,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Methow Valley School District,18 Twin Lakes Rd.,Winthrop,OKANOGAN,North Central Educational Service District 171,0,0
YELM EXTENSION SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Yelm School District,107 N 1st St,Yelm,THURSTON,Educational Service District 113,0,0
CBE ALTERNATIVE PROGRAMS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,West Valley School District (Spokane),115 S University,Spokane,SPOKANE,Educational Service District 101,0,0
EAST GRAYS HARBOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Elma School District,1235 Monte-Elma Rd,Elma,GRAYS HARBOR,Educational Service District 113,0,0
INTERAGENCY PROGRAMS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,3528 S Ferdinand St,Seattle,KING,Puget Sound Educational Service District 121,0,1
PHOENIX PROGRAM,2017-18,Y,10,30.0%,0.0%,50.0%,20.0%,0.0%,10.0%,10.0%,0.0%,70.0%,80.0%,70.0%,50.0%,50.0%,60.0%,3,0,5,2,0,1,1,0,3,2,3,5,5,4,Public,Puyallup School District,5715 Milwaukee Ave E,Puyallup,PIERCE,Puget Sound Educational Service District 121,1,1
49TH STREET ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Evergreen School District (Clark),14619B NE 49th Street,Vancouver,CLARK,Educational Service District 112,1,1
Options High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellingham School District,2015 Franklin St,Bellingham,WHATCOM,Northwest Educational Service District 189,0,0
CONTRACTUAL SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,13820 108th Ave NE,Kirkland,KING,Puget Sound Educational Service District 121,0,0
10TH STREET SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Marysville School District,7204 27th Ave NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,0,1
HERITAGE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Marysville School District,7204 27th Ave NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,0,0
DISCOVERY ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,12801 84th NE,Kirkland,KING,Puget Sound Educational Service District 121,1,0
SPECIAL EDUCATION,2017-18,Y,2,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,2,0,0,0,0,0,2,2,2,2,2,2,Public,Shoreline School District,18560 1st Avenue N.E.,Shoreline,KING,Puget Sound Educational Service District 121,1,1
District Run Home School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Quillayute Valley School District,411 S Spartan Avenue,Forks,CLALLAM,Olympic Educational Service District 114,1,1
JAMES A. TAYLOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Mason School District,71 E. Campus Dr.,Belfair,MASON,Olympic Educational Service District 114,0,0
SOUTH WHIDBEY ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,South Whidbey School District,5476 Maxwelton Rd,Langley,ISLAND,Northwest Educational Service District 189,1,1
SOUTH WHIDBEY SPECIAL SERVICES,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,South Whidbey School District,1601 Ave D,Snohomish,ISLAND,Northwest Educational Service District 189,0,0
Maplewood K-8 Co-Op,2017-18,Y,44,86.4%,0.0%,4.5%,9.1%,0.0%,9.1%,0.0%,0.0%,95.5%,95.5%,95.5%,90.9%,88.6%,95.5%,38,0,2,4,0,4,0,0,2,2,2,4,5,2,Public,Edmonds School District,8500 200TH ST SW,Edmonds,SNOHOMISH,Northwest Educational Service District 189,1,1
EXPLORER COMMUNITY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,7040 208th NE,Redmond,KING,Puget Sound Educational Service District 121,0,0
EMERSON K-12,2017-18,Y,4,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,0,1,0,0,1,1,1,1,1,1,Public,Lake Washington School District,10903 NE 53rd Street,Kirkland,KING,Puget Sound Educational Service District 121,1,1
