School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
ADAMS ELEMENTARY SCHOOL,2017-18,Y,110,96.4%,0.0%,1.8%,1.8%,1.8%,0.0%,0.0%,0.0%,98.2%,98.2%,98.2%,98.2%,99.1%,98.2%,106,0,2,2,2,0,0,0,2,2,2,2,1,2,Public,Yakima School District,723 S 8th St,Yakima,YAKIMA,Educational Service District 105,1,0
ROSE VALLEY ELEMENTARY,2017-18,Y,19,94.7%,0.0%,0.0%,5.3%,0.0%,5.3%,0.0%,0.0%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,18,0,0,1,0,1,0,0,1,1,1,1,1,1,Public,Kelso School District,1502 Rose Valley Rd,Kelso,COWLITZ,Educational Service District 112,1,0
KENNYDALE ELEMENTARY,2017-18,Y,126,90.5%,0.0%,1.6%,7.9%,0.8%,6.3%,0.8%,0.0%,92.9%,92.9%,92.1%,92.9%,93.7%,93.7%,114,0,2,10,1,8,1,0,9,9,10,9,8,8,Public,Renton School District,1700 NE 28TH ST,RENTON,KING,Educational Service District 101,1,0
KELLER ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Keller School District,17 South School Road,Keller,FERRY,Educational Service District 101,1,1
INCHELIUM HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Inchelium School District,1 Hornet Avenue,Inchelium,FERRY,Educational Service District 101,0,0
WISHRAM ELEMENTARY SCHOOL,2017-18,Y,4,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,100.0%,50.0%,2,0,2,0,0,0,0,0,2,2,2,2,0,2,Public,Wishram School District,135 Bunn,Wishram,KLICKITAT,Educational Service District 112,0,0
WISHRAM JR SR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Wishram School District,135 Bunn,Wishram,KLICKITAT,Educational Service District 112,0,0
CUSTER ELEM,2017-18,Y,56,83.9%,1.8%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,89.3%,89.3%,87.5%,87.5%,89.3%,85.7%,47,1,0,8,0,8,0,0,6,6,7,7,6,8,Public,Ferndale School District,7660 Custer School Road,Custer,WHATCOM,Northwest Educational Service District 189,1,1
GARFIELD ELEMENTARY SCHOOL,2017-18,Y,57,94.7%,1.8%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,98.2%,98.2%,100.0%,96.5%,98.2%,100.0%,54,1,2,0,0,0,0,0,1,1,0,2,1,0,Public,Toppenish School District,505 MADISON AVE,Toppenish,YAKIMA,Educational Service District 105,1,0
HOUGH ELEMENTARY SCHOOL,2017-18,Y,52,73.1%,9.6%,15.4%,1.9%,1.9%,0.0%,0.0%,0.0%,84.6%,84.6%,86.5%,88.5%,84.6%,76.9%,38,5,8,1,1,0,0,0,8,8,7,6,8,12,Public,Vancouver School District,1900 DANIELS ST,Vancouver,CLARK,Educational Service District 112,1,0
FIRCREST HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Shoreline School District,15230 15th Ave NE,Shoreline,KING,Puget Sound Educational Service District 121,0,0
FIRCREST MIDDLE SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Shoreline School District,15230 15th Ave NE,Shoreline,KING,Puget Sound Educational Service District 121,0,0
WEST HILLS STEM ACADEMY,2017-18,Y,63,77.8%,1.6%,17.5%,3.2%,0.0%,1.6%,1.6%,0.0%,85.7%,85.7%,87.3%,82.5%,90.5%,82.5%,49,1,11,2,0,1,1,0,9,9,8,11,6,11,Public,Bremerton School District,520 S National Ave,Bremerton,KITSAP,Olympic Educational Service District 114,1,1
CENTRAL KITSAP HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Central Kitsap School District,3700 NW Anderson Hill Road,Silverdale,KITSAP,Olympic Educational Service District 114,0,0
LYMAN ELEMENTARY SCHOOL,2017-18,Y,17,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Sedro-Woolley School District,8183 Lyman Ave,Lyman,SKAGIT,Northwest Educational Service District 189,1,1
MCLANE ELEMENTARY,2017-18,Y,47,83.0%,2.1%,14.9%,0.0%,0.0%,0.0%,0.0%,0.0%,87.2%,87.2%,91.5%,91.5%,91.5%,89.4%,39,1,7,0,0,0,0,0,6,6,4,4,4,5,Public,Olympia School District,200 DELPHI RD SW,Olympia,THURSTON,Educational Service District 113,1,0
MANSON HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Manson School District,1000 Totem Pole Rd,Manson,CHELAN,North Central Educational Service District 171,0,1
WALLACE ELEMENTARY,2017-18,Y,63,88.9%,4.8%,0.0%,6.3%,0.0%,6.3%,0.0%,0.0%,90.5%,90.5%,92.1%,90.5%,92.1%,90.5%,56,3,0,4,0,4,0,0,6,6,5,6,5,6,Public,Kelso School District,410 Elm St,Kelso,COWLITZ,Educational Service District 112,1,0
COUPEVILLE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Coupeville School District,501 South Main,Coupeville,ISLAND,Northwest Educational Service District 189,0,0
LOPEZ MIDDLE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lopez School District,86 School Road,Lopez Island,SAN JUAN,Northwest Educational Service District 189,0,1
YELM HIGH SCHOOL 12,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Yelm School District,1315 W Yelm Ave,Yelm,THURSTON,Educational Service District 113,0,0
LINCOLN ELEMENTARY SCHOOL,2017-18,Y,55,89.1%,0.0%,10.9%,0.0%,0.0%,0.0%,0.0%,0.0%,94.5%,94.5%,96.4%,94.5%,100.0%,98.2%,49,0,6,0,0,0,0,0,3,3,2,3,0,1,Public,Toppenish School District,309 NORTH ALDER STREET,Toppenish,YAKIMA,Educational Service District 105,1,0
FRUIT VALLEY ELEMENTARY SCHOOL,2017-18,Y,40,90.0%,0.0%,7.5%,2.5%,0.0%,2.5%,0.0%,0.0%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,36,0,3,1,0,1,0,0,3,3,3,3,3,3,Public,Vancouver School District,3410 NW FRUIT VALLEY RD,Vancouver,CLARK,Educational Service District 112,1,0
WHITE CENTER HEIGHTS ELEMENTARY,2017-18,Y,101,91.1%,2.0%,5.0%,2.0%,0.0%,1.0%,1.0%,0.0%,94.1%,94.1%,96.0%,95.0%,94.1%,93.1%,92,2,5,2,0,1,1,0,6,6,4,5,6,7,Public,Highline School District,10015 6th Avenue Southwest,Seattle,KING,Puget Sound Educational Service District 121,1,1
HIGHLANDS ELEMENTARY,2017-18,Y,78,84.6%,0.0%,11.5%,3.8%,0.0%,3.8%,0.0%,0.0%,88.5%,88.5%,89.7%,88.5%,93.6%,91.0%,66,0,9,3,0,3,0,0,9,9,8,9,5,7,Public,Renton School District,2720 NE 7TH ST,RENTON,KING,Educational Service District 101,1,0
East Port Orchard Elementary,2017-18,Y,82,91.5%,1.2%,1.2%,6.1%,4.9%,2.4%,0.0%,0.0%,95.1%,93.9%,92.7%,96.3%,95.1%,93.9%,75,1,1,5,4,2,0,0,4,5,6,3,4,5,Public,South Kitsap School District,1964 HOOVER AVE SE,Port Orchard,KITSAP,Olympic Educational Service District 114,1,1
JEFFERSON ELEMENTARY,2017-18,Y,67,94.0%,1.5%,1.5%,3.0%,0.0%,3.0%,0.0%,0.0%,98.5%,98.5%,98.5%,98.5%,98.5%,97.0%,63,1,1,2,0,2,0,0,1,1,1,1,1,2,Public,Richland School District,1525 Hunt Ave,Richland,BENTON,Educational Service District 123,1,0
HARNEY ELEMENTARY SCHOOL,2017-18,Y,122,86.1%,4.9%,4.9%,4.1%,0.8%,3.3%,0.0%,0.0%,90.2%,90.2%,93.4%,91.8%,93.4%,92.6%,105,6,6,5,1,4,0,0,12,12,8,10,8,9,Public,Vancouver School District,3212 E EVERGREEN BLVD,Vancouver,CLARK,Educational Service District 112,1,0
OGDEN ELEMENTARY SCHOOL,2017-18,Y,101,77.2%,5.0%,13.9%,4.0%,0.0%,4.0%,0.0%,0.0%,83.2%,83.2%,89.1%,86.1%,87.1%,88.1%,78,5,14,4,0,4,0,0,17,17,11,14,13,12,Public,Vancouver School District,8100 NE 28TH ST,Vancouver,CLARK,Educational Service District 112,1,0
WEST SEATTLE ELEMENTARY SCHOOL,2017-18,Y,76,82.9%,1.3%,10.5%,5.3%,0.0%,5.3%,0.0%,0.0%,92.1%,92.1%,86.8%,90.8%,98.7%,89.5%,63,1,8,4,0,4,0,0,6,6,10,7,1,8,Public,Seattle Public Schools,6760 34 AV SW,Seattle,KING,Puget Sound Educational Service District 121,1,0
Orchard Heights Elementary,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,South Kitsap School District,2288 FIRCREST DR SE,Port Orchard,KITSAP,Olympic Educational Service District 114,1,1
Tillicum Elementary School,2017-18,Y,62,91.9%,1.6%,4.8%,1.6%,0.0%,1.6%,0.0%,0.0%,93.5%,93.5%,95.2%,93.5%,96.8%,95.2%,57,1,3,1,0,1,0,0,4,4,3,4,2,3,Public,Clover Park School District,8514 Maple ST SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,1,0
Lakeview Hope Academy,2017-18,Y,111,91.0%,4.5%,3.6%,0.9%,0.0%,0.9%,0.0%,0.0%,94.6%,94.6%,96.4%,94.6%,96.4%,93.7%,101,5,4,1,0,1,0,0,6,6,4,6,4,7,Public,Clover Park School District,10501 47th AVE SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,1,0
Trent School,2017-18,Y,72,86.1%,1.4%,1.4%,11.1%,4.2%,6.9%,0.0%,0.0%,87.5%,87.5%,90.3%,87.5%,90.3%,90.3%,62,1,1,8,3,5,0,0,9,9,7,9,7,7,Public,East Valley School District (Spokane),3303 N PINES RD,Spokane Valley,SPOKANE,Educational Service District 101,1,1
MARCUS WHITMAN ELEMENTARY,2017-18,Y,95,96.8%,1.1%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,97.9%,100.0%,97.9%,97.9%,98.9%,97.9%,92,1,2,0,0,0,0,0,2,0,2,2,1,2,Public,Richland School District,1704 Gray,Richland,BENTON,Educational Service District 123,1,0
LEWIS AND CLARK ELEMENTARY SCHOOL,2017-18,Y,85,94.1%,2.4%,2.4%,1.2%,0.0%,1.2%,0.0%,0.0%,97.6%,97.6%,96.5%,97.6%,97.6%,96.5%,80,2,2,1,0,1,0,0,2,2,3,2,2,3,Public,Richland School District,800 Downing,Richland,BENTON,Educational Service District 123,1,0
TERMINAL PARK ELEMENTARY SCHOO,2017-18,Y,78,79.5%,1.3%,11.5%,7.7%,1.3%,5.1%,1.3%,0.0%,85.9%,85.9%,87.2%,85.9%,89.7%,85.9%,62,1,9,6,1,4,1,0,11,11,10,11,8,11,Public,Auburn School District,1101 D ST SE,Auburn,KING,Puget Sound Educational Service District 121,1,0
BELFAIR ELEMENTARY,2017-18,Y,95,89.5%,3.2%,0.0%,7.4%,4.2%,2.1%,0.0%,1.1%,93.7%,93.7%,95.8%,93.7%,96.8%,92.6%,85,3,0,7,4,2,0,1,6,6,4,6,3,7,Public,North Mason School District,NE 22900 Hwy 3,Belfair,MASON,Olympic Educational Service District 114,1,0
GESS ELEMENTARY,2017-18,Y,20,70.0%,0.0%,30.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.0%,85.0%,75.0%,75.0%,95.0%,75.0%,14,0,6,0,0,0,0,0,3,3,5,5,1,5,Public,Chewelah School District,7607 NW Newberry Hill Rd,Chewelah,STEVENS,Educational Service District 101,1,1
ORONDO ELEMENTARY,2017-18,Y,15,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Orondo School District,100 Orondo School Rd,Orondo,DOUGLAS,North Central Educational Service District 171,1,1
VIEW RIDGE ELEMENTARY SCHOOL,2017-18,Y,87,95.4%,0.0%,4.6%,0.0%,0.0%,0.0%,0.0%,0.0%,96.6%,96.6%,97.7%,96.6%,97.7%,96.6%,83,0,4,0,0,0,0,0,3,3,2,3,2,3,Public,Seattle Public Schools,7047 50 AV NE,Seattle,KING,Puget Sound Educational Service District 121,1,0
DAVENPORT ELEMENTARY,2017-18,Y,33,78.8%,6.1%,12.1%,3.0%,0.0%,3.0%,0.0%,0.0%,84.8%,84.8%,90.9%,84.8%,87.9%,84.8%,26,2,4,1,0,1,0,0,5,5,3,5,4,5,Public,Davenport School District,1101 7TH STREET,Davenport,LINCOLN,Educational Service District 101,1,0
MADISON ELEMENTARY,2017-18,Y,76,89.5%,1.3%,2.6%,6.6%,0.0%,6.6%,0.0%,0.0%,92.1%,92.1%,90.8%,93.4%,96.1%,90.8%,68,1,2,5,0,5,0,0,6,6,7,5,3,7,Public,Everett School District,616 Pecks Dr,Everett,SNOHOMISH,Northwest Educational Service District 189,1,0
AMBOY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Battle Ground School District,22115 NE Chelatchie Rd,Amboy,CLARK,Educational Service District 112,0,1
GRAND COULEE DAM MIDDLE SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Grand Coulee Dam School District,BOX J,Grand Coulee,GRANT,North Central Educational Service District 171,0,1
FRONTIER MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Moses Lake School District,517 WEST THIRD AVENUE,Moses Lake,GRANT,North Central Educational Service District 171,0,1
TROUT LAKE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Trout Lake School District,2310 WA-141,Trout Lake,KLICKITAT,Educational Service District 112,0,1
GOLDENDALE PRIMARY SCHOOL,2017-18,Y,84,81.0%,1.2%,1.2%,16.7%,3.6%,11.9%,1.2%,0.0%,84.5%,84.5%,86.9%,85.7%,88.1%,84.5%,68,1,1,14,3,10,1,0,13,13,11,12,10,13,Public,Goldendale School District,820 S. SCHUSTER ST,Goldendale,KLICKITAT,Educational Service District 105,1,0
MORTON ELEMENTARY SCHOOL,2017-18,Y,19,57.9%,0.0%,36.8%,5.3%,0.0%,5.3%,0.0%,0.0%,63.2%,63.2%,68.4%,63.2%,94.7%,68.4%,11,0,7,1,0,1,0,0,7,7,6,7,1,6,Public,Morton School District,400 W Main Ave,Morton,LEWIS,Educational Service District 113,1,1
TONASKET HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tonasket School District,35HS HIGHWAY 20,Tonasket,OKANOGAN,North Central Educational Service District 171,0,0
PENINSULA HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Peninsula School District,14105 Purdy Dr NW,Gig Harbor,PIERCE,Puget Sound Educational Service District 121,0,0
Stevenson Elementary,2017-18,Y,61,86.9%,1.6%,8.2%,3.3%,1.6%,3.3%,0.0%,0.0%,90.2%,90.2%,90.2%,91.8%,96.7%,88.5%,53,1,5,2,1,2,0,0,6,6,6,5,2,7,Public,Stevenson-Carson School District,390 NW Gropper Rd,Stevenson,SKAMANIA,Educational Service District 112,1,0
NOOKSACK VALLEY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Nooksack Valley School District,404 W. Columbia St.,Everson,WHATCOM,Northwest Educational Service District 189,0,1
MORGEN OWINGS ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Chelan School District,407 E Woodin Ave,Chelan,CHELAN,North Central Educational Service District 171,1,0
HAZEL DELL ELEMENTARY SCHOOL,2017-18,Y,65,92.3%,3.1%,3.1%,1.5%,0.0%,1.5%,0.0%,0.0%,95.4%,95.4%,95.4%,95.4%,98.5%,92.3%,60,2,2,1,0,1,0,0,3,3,3,3,1,5,Public,Vancouver School District,511 NE ANDERSON RD,Vancouver,CLARK,Educational Service District 112,1,0
CATLIN ELEMENTARY,2017-18,Y,58,96.6%,0.0%,1.7%,1.7%,0.0%,1.7%,0.0%,0.0%,96.6%,96.6%,96.6%,96.6%,98.3%,96.6%,56,0,1,1,0,1,0,0,2,2,2,2,1,2,Public,Kelso School District,404 Long Ave.,Kelso,COWLITZ,Educational Service District 112,1,0
COULEE CITY ELEMENTARY,2017-18,Y,15,66.7%,0.0%,26.7%,6.7%,0.0%,6.7%,0.0%,0.0%,66.7%,66.7%,86.7%,66.7%,86.7%,86.7%,10,0,4,1,0,1,0,0,5,5,2,5,2,2,Public,Coulee-Hartline School District,410 W LOCUST,Coulee City,GRANT,North Central Educational Service District 171,1,0
SOAP LAKE ELEMENTARY,2017-18,Y,29,62.1%,0.0%,17.2%,20.7%,0.0%,13.8%,0.0%,6.9%,69.0%,69.0%,69.0%,69.0%,75.9%,69.0%,18,0,5,6,0,4,0,2,9,9,9,9,7,9,Public,Soap Lake School District,410 Ginkgo St S,Soap Lake,GRANT,North Central Educational Service District 171,1,0
PARKWAY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Ephrata School District,1011 PARKWAY BLVD,Ephrata,GRANT,North Central Educational Service District 171,0,1
OAK HARBOR ELEMENTARY,2017-18,Y,88,97.7%,1.1%,0.0%,1.1%,0.0%,1.1%,0.0%,0.0%,98.9%,98.9%,98.9%,97.7%,97.7%,98.9%,86,1,0,1,0,1,0,0,1,1,1,2,2,1,Public,Oak Harbor School District,151 SE Midway Blvd.,Oak Harbor,ISLAND,Northwest Educational Service District 189,1,0
CHIMACUM ELEMENTARY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Chimacum School District,91 W Valley Rd,Chimacum,JEFFERSON,Olympic Educational Service District 114,0,0
HAZEL VALLEY ELEMENTARY,2017-18,Y,92,89.1%,1.1%,8.7%,1.1%,1.1%,0.0%,0.0%,0.0%,96.7%,96.7%,95.7%,95.7%,96.7%,94.6%,82,1,8,1,1,0,0,0,3,3,4,4,3,5,Public,Highline School District,402 SW 132nd St,Burien,KING,Puget Sound Educational Service District 121,1,1
