County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP","% Vaccinated:
DTaP","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR","% Vaccinated:
MMR","# Vaccinated:
HepB","% Vaccinated:
HepB","# Vaccinated:
HepA","% Vaccinated:
HepA","# Vaccinated:
Hib","% Vaccinated:
Hib","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP","% Exemption:
DTaP","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
MMR","% Exemption:
MMR","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Exemption:
Hib","% Exemption:
Hib","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted,"# Children
<18 Months"
Baker,BRIGHT EYES PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,19,15,79%,15,79%,15,79%,15,79%,15,79%,15,79%,15,79%,15,79%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,4,21%,0,0%,0,0%,0,0
Baker,EASTERN OREGON HEAD START - BAKER COUNTY,PRESCHOOL / CHILD CARE / HEAD START,73,71,97%,72,99%,71,97%,71,97%,71,97%,70,96%,71,97%,69,95%,3,4%,1,1%,1,1%,1,1%,1,1%,1,1%,2,3%,1,1%,1,1%,0,0%,1,1%,0,0
Baker,HAINES ELEMENTARY SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,10,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Baker,HARVEST CHRISTIAN ACADEMY,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,HUNTINGTON SCHOOL DISTRICT 16J,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,INTERMOUNTAIN ESD EARLY CHILDHOOD PROGRAM,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,KEATING ELEMENTARY SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,"MELODY'S ""PLAY""CE",PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,PINE EAGLE CHARTER SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,21,18,86%,19,90%,20,95%,19,90%,19,90%,20,95%,19,90%,18,86%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,3,14%,0,0%,0,0%,0,0
Baker,St. Stephen's Preschool Pre-K,PRESCHOOL / CHILD CARE / HEAD START,10,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,1,10%,0,0%,0,0%,0,0
Baker,YMCA Preschool,PRESCHOOL / CHILD CARE / HEAD START,57,54,95%,55,96%,54,95%,55,96%,54,95%,54,95%,55,96%,53,93%,3,5%,2,4%,2,4%,3,5%,3,5%,3,5%,3,5%,2,4%,2,4%,0,0%,0,0%,0,0
Benton,Alpine Co-op Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,0,0%,0,0%,0,0
Benton,Alsea Pups Preschool,PRESCHOOL / CHILD CARE / HEAD START,18,17,94%,17,94%,17,94%,17,94%,16,89%,17,94%,17,94%,16,89%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,0,0%,0,0%,0,0
Benton,Ashbrook Independent School,PRESCHOOL / CHILD CARE / HEAD START,19,18,95%,18,95%,19,100%,19,100%,18,95%,19,100%,18,95%,18,95%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Azalea Child Care Center,PRESCHOOL / CHILD CARE / HEAD START,38,37,97%,37,97%,37,97%,38,100%,36,95%,38,100%,38,100%,35,92%,3,8%,1,3%,1,3%,0,0%,0,0%,2,5%,2,5%,0,0%,0,0%,0,0%,0,0%,0,9
Benton,Bright Beginnings Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,19,90%,20,95%,21,100%,21,100%,20,95%,19,90%,20,95%,17,81%,2,10%,1,5%,2,10%,1,5%,0,0%,1,5%,2,10%,1,5%,0,0%,0,0%,0,0%,0,0
Benton,Corvallis Community Children's Center - Lancaster,PRESCHOOL / CHILD CARE / HEAD START,47,44,94%,45,96%,44,94%,45,96%,44,94%,45,96%,46,98%,44,94%,3,6%,3,6%,2,4%,3,6%,2,4%,3,6%,2,4%,1,2%,0,0%,0,0%,0,0%,0,7
Benton,Corvallis Community Children's Centers - Growing O,PRESCHOOL / CHILD CARE / HEAD START,47,47,100%,47,100%,47,100%,47,100%,45,96%,47,100%,47,100%,45,96%,2,4%,0,0%,0,0%,0,0%,0,0%,2,4%,0,0%,0,0%,0,0%,0,0%,0,0%,0,10
Benton,Corvallis Early Learning,PRESCHOOL / CHILD CARE / HEAD START,13,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,3
Benton,Corvallis Environmental Center Avery House Nature,PRESCHOOL / CHILD CARE / HEAD START,29,25,86%,25,86%,25,86%,25,86%,25,86%,25,86%,25,86%,25,86%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,0,0%,0,0%,1,0
Benton,Corvallis High School Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,0,0%,0,0%,0,0
Benton,Corvallis Kidco Head Start,PRESCHOOL / CHILD CARE / HEAD START,50,50,100%,50,100%,50,100%,50,100%,49,98%,50,100%,50,100%,49,98%,1,2%,0,0%,0,0%,0,0%,0,0%,1,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Corvallis Montessori School,PRESCHOOL / CHILD CARE / HEAD START,69,66,96%,66,96%,64,93%,66,96%,66,96%,65,94%,66,96%,64,93%,5,7%,3,4%,3,4%,5,7%,3,4%,3,4%,4,6%,3,4%,3,4%,0,0%,0,0%,0,0
Benton,Corvallis Waldorf School,PRESCHOOL / CHILD CARE / HEAD START,63,53,84%,53,84%,51,81%,52,83%,48,76%,49,78%,53,84%,47,75%,16,25%,10,16%,10,16%,12,19%,11,17%,15,24%,14,22%,10,16%,10,16%,0,0%,0,0%,0,0
Benton,Crescent Valley High School Preschool,PRESCHOOL / CHILD CARE / HEAD START,36,34,94%,34,94%,34,94%,34,94%,34,94%,34,94%,34,94%,34,94%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,2,6%,0,0%,0,0%,0,0
Benton,Family Tree Relief Nursery,PRESCHOOL / CHILD CARE / HEAD START,18,18,100%,18,100%,18,100%,18,100%,18,100%,18,100%,18,100%,18,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Fern Friends,PRESCHOOL / CHILD CARE / HEAD START,12,9,75%,10,83%,10,83%,10,83%,9,75%,10,83%,8,67%,8,67%,2,17%,2,17%,2,17%,2,17%,2,17%,2,17%,2,17%,2,17%,2,17%,0,0%,0,0%,0,0
Benton,G3 Day School  Sports and Fitness Child Care,PRESCHOOL / CHILD CARE / HEAD START,18,16,89%,17,94%,17,94%,17,94%,17,94%,17,94%,17,94%,16,89%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,1,6%,0,0%,0,0%,2,2
Benton,Grant Avenue Preschool,PRESCHOOL / CHILD CARE / HEAD START,31,31,100%,31,100%,31,100%,31,100%,31,100%,31,100%,31,100%,31,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Hand in Hand at Zion Lutheran Ministries,PRESCHOOL / CHILD CARE / HEAD START,65,65,100%,65,100%,65,100%,65,100%,65,100%,65,100%,65,100%,65,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,38,14
Benton,Happy Place Child Care,PRESCHOOL / CHILD CARE / HEAD START,13,12,92%,12,92%,13,100%,13,100%,13,100%,13,100%,12,92%,11,85%,2,15%,1,8%,1,8%,0,0%,0,0%,0,0%,0,0%,1,8%,0,0%,0,0%,0,0%,0,1
Benton,Kidco Head start - Old Mill Early Head Start at Co,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Kings Valley Charter School Preschool,PRESCHOOL / CHILD CARE / HEAD START,12,9,75%,9,75%,8,67%,9,75%,9,75%,9,75%,9,75%,8,67%,3,25%,2,17%,2,17%,3,25%,2,17%,2,17%,2,17%,2,17%,2,17%,0,0%,0,0%,0,0
Benton,La Petite Playschool,PRESCHOOL / CHILD CARE / HEAD START,19,19,100%,19,100%,19,100%,19,100%,19,100%,19,100%,19,100%,19,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,2
Benton,LBCC Benton Corvallis Co-op Preschool,PRESCHOOL / CHILD CARE / HEAD START,11,10,91%,10,91%,10,91%,10,91%,10,91%,10,91%,10,91%,10,91%,1,9%,1,9%,1,9%,1,9%,1,9%,1,9%,1,9%,1,9%,1,9%,0,0%,0,0%,0,0
Benton,LBCC Philomath Co-op Preschool,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,"Little Beavers Preschool, Inc.",PRESCHOOL / CHILD CARE / HEAD START,45,42,93%,42,93%,42,93%,42,93%,42,93%,42,93%,42,93%,42,93%,3,7%,2,4%,2,4%,2,4%,2,4%,3,7%,3,7%,2,4%,2,4%,0,0%,0,0%,3,10
Benton,Mari's Place,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Noah's Ark Preschool (Suburban Christian Church),PRESCHOOL / CHILD CARE / HEAD START,48,48,100%,48,100%,46,96%,48,100%,46,96%,48,100%,48,100%,46,96%,2,4%,0,0%,0,0%,2,4%,0,0%,1,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,8
Benton,Old Mill Center  For Children & Families - prescho,PRESCHOOL / CHILD CARE / HEAD START,43,43,100%,43,100%,43,100%,43,100%,43,100%,43,100%,42,98%,42,98%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,4
Benton,OSU Beaver Beginnings - CCLC,PRESCHOOL / CHILD CARE / HEAD START,122,122,100%,122,100%,122,100%,122,100%,122,100%,122,100%,122,100%,122,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,19
Benton,OSU Child Development Center - Headstart,PRESCHOOL / CHILD CARE / HEAD START,104,98,94%,98,94%,98,94%,98,94%,98,94%,98,94%,97,93%,96,92%,6,6%,6,6%,6,6%,6,6%,6,6%,6,6%,6,6%,5,5%,5,5%,0,0%,0,0%,0,0
Benton,Philomath High School Preschool - Little Warriors,PRESCHOOL / CHILD CARE / HEAD START,19,18,95%,18,95%,18,95%,18,95%,18,95%,18,95%,18,95%,18,95%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,1,5%,0,0%,0,0%,0,0
Benton,Philomath kidco Head Start,PRESCHOOL / CHILD CARE / HEAD START,19,17,89%,17,89%,18,95%,18,95%,17,89%,17,89%,17,89%,17,89%,2,11%,2,11%,2,11%,1,5%,1,5%,2,11%,2,11%,2,11%,1,5%,0,0%,0,0%,0,0
Benton,Philomath Montessori School,PRESCHOOL / CHILD CARE / HEAD START,19,17,89%,17,89%,16,84%,17,89%,16,84%,16,84%,16,84%,16,84%,3,16%,2,11%,2,11%,3,16%,2,11%,3,16%,3,16%,3,16%,2,11%,0,0%,0,0%,0,0
Benton,Presbyterian Preschool & Childcare Center,PRESCHOOL / CHILD CARE / HEAD START,57,55,96%,55,96%,55,96%,55,96%,54,95%,54,95%,55,96%,53,93%,4,7%,2,4%,2,4%,2,4%,2,4%,3,5%,3,5%,2,4%,2,4%,0,0%,0,0%,0,9
Benton,Rugrats Traditional Home Child Care,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Sandcastle Preschool,PRESCHOOL / CHILD CARE / HEAD START,59,59,100%,59,100%,59,100%,59,100%,59,100%,59,100%,59,100%,59,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Santiam Christian Schools,PRESCHOOL / CHILD CARE / HEAD START,53,47,89%,47,89%,49,92%,49,92%,48,91%,45,85%,50,94%,45,85%,6,11%,6,11%,6,11%,4,8%,4,8%,5,9%,6,11%,3,6%,3,6%,0,0%,0,0%,0,0
Benton,Small Wonders Preschool,PRESCHOOL / CHILD CARE / HEAD START,21,19,90%,21,100%,21,100%,21,100%,19,90%,21,100%,21,100%,19,90%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Small World School,PRESCHOOL / CHILD CARE / HEAD START,13,12,92%,13,100%,13,100%,13,100%,12,92%,13,100%,13,100%,11,85%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,2
Benton,The Magic Flute Bilingual Pre-School,PRESCHOOL / CHILD CARE / HEAD START,25,25,100%,25,100%,25,100%,25,100%,25,100%,24,96%,25,100%,24,96%,1,4%,0,0%,0,0%,0,0%,0,0%,0,0%,1,4%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,The Robins Nest,PRESCHOOL / CHILD CARE / HEAD START,13,9,69%,11,85%,12,92%,12,92%,10,77%,11,85%,8,62%,8,62%,2,15%,1,8%,1,8%,1,8%,1,8%,2,15%,1,8%,1,8%,1,8%,0,0%,0,0%,0,7
Benton,Trees of the Field Family Childcare,PRESCHOOL / CHILD CARE / HEAD START,12,12,100%,12,100%,12,100%,12,100%,12,100%,12,100%,12,100%,12,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Benton,Wonders Early Learning Center,PRESCHOOL / CHILD CARE / HEAD START,27,25,93%,25,93%,25,93%,25,93%,25,93%,25,93%,25,93%,25,93%,2,7%,2,7%,2,7%,2,7%,2,7%,2,7%,2,7%,2,7%,2,7%,0,0%,0,0%,0,7
Clackamas,ACADEMY FOR KIDS,PRESCHOOL / CHILD CARE / HEAD START,67,67,100%,67,100%,66,99%,66,99%,67,100%,67,100%,67,100%,66,99%,1,1%,0,0%,0,0%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,75,9
Clackamas,AMIGUITOS PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,54,49,91%,48,89%,48,89%,50,93%,47,87%,50,93%,48,89%,47,87%,5,9%,3,6%,4,7%,4,7%,2,4%,5,9%,2,4%,4,7%,2,4%,0,0%,0,0%,1,0
Clackamas,ANA'S DAYCARE,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,ATLAS IMMERSION ACADEMY,PRESCHOOL / CHILD CARE / HEAD START,22,21,95%,20,91%,19,86%,21,95%,19,86%,19,86%,21,95%,18,82%,4,18%,1,5%,2,9%,3,14%,1,5%,3,14%,3,14%,1,5%,1,5%,0,0%,0,0%,0,9
Clackamas,AUNTIE PORTIES,PRESCHOOL / CHILD CARE / HEAD START,13,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,7
Clackamas,BARTON CHURCH PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,15,14,93%,14,93%,14,93%,14,93%,14,93%,14,93%,14,93%,14,93%,1,7%,1,7%,1,7%,1,7%,1,7%,1,7%,1,7%,1,7%,1,7%,0,0%,0,0%,0,0
Clackamas,BEAUTIFUL SAVIOR PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,70,69,99%,69,99%,68,97%,68,97%,69,99%,69,99%,69,99%,68,97%,2,3%,0,0%,0,0%,0,0%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,BELOVED MONTESSORI,PRESCHOOL / CHILD CARE / HEAD START,81,76,94%,75,93%,74,91%,76,94%,74,91%,74,91%,76,94%,74,91%,6,7%,4,5%,5,6%,6,7%,5,6%,6,7%,6,7%,5,6%,4,5%,0,0%,0,0%,0,14
Clackamas,BETHLEHEM CHRISTIAN PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,173,149,86%,149,86%,149,86%,149,86%,149,86%,149,86%,149,86%,149,86%,18,10%,15,9%,18,10%,18,10%,18,10%,14,8%,17,10%,17,10%,11,6%,0,0%,0,0%,1,0
Clackamas,BIZZY BUMBLEBEE PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,51,51,100%,51,100%,51,100%,51,100%,51,100%,51,100%,51,100%,51,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,BOECKMAN CREEK PRIMARY,PRESCHOOL / CHILD CARE / HEAD START,10,10,100%,10,100%,10,100%,10,100%,9,90%,9,90%,9,90%,9,90%,2,20%,0,0%,0,0%,1,10%,1,10%,1,10%,2,20%,1,10%,0,0%,0,0%,0,0%,0,0
Clackamas,BOLTON PRIMARY,PRESCHOOL / CHILD CARE / HEAD START,30,29,97%,28,93%,29,97%,30,100%,28,93%,30,100%,30,100%,26,87%,1,3%,1,3%,0,0%,1,3%,0,0%,1,3%,1,3%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,BOONES FERRY ELEMENTARY,PRESCHOOL / CHILD CARE / HEAD START,25,21,84%,22,88%,23,92%,23,92%,22,88%,23,92%,23,92%,21,84%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,0,0%,0,0%,0,0
Clackamas,BRIGHT BEGINNINGS LEARNING CENTER & DAYCARE,PRESCHOOL / CHILD CARE / HEAD START,21,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,20,95%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,5%,9,9
Clackamas,BRIGHT MINDS CHRISTIAN DAYSCHOOL,PRESCHOOL / CHILD CARE / HEAD START,99,95,96%,95,96%,95,96%,95,96%,95,96%,95,96%,95,96%,95,96%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,0,0%,0,0%,0,12
Clackamas,Brighten Montessori,PRESCHOOL / CHILD CARE / HEAD START,23,23,100%,22,96%,22,96%,23,100%,22,96%,23,100%,22,96%,22,96%,1,4%,0,0%,1,4%,0,0%,0,0%,1,4%,1,4%,1,4%,0,0%,0,0%,0,0%,1,0
Clackamas,BUILDING BLOCKS CHRISTIAN PRESCHOOL & KINDERGARTEN,PRESCHOOL / CHILD CARE / HEAD START,53,52,98%,52,98%,52,98%,52,98%,52,98%,52,98%,52,98%,52,98%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,0,0%,0,0%,0,0
Clackamas,BUILDING BLOCKS EARLY LEARNING CENTER,PRESCHOOL / CHILD CARE / HEAD START,45,43,96%,41,91%,43,96%,44,98%,40,89%,43,96%,41,91%,40,89%,5,11%,2,4%,4,9%,2,4%,1,2%,5,11%,2,4%,4,9%,0,0%,0,0%,0,0%,0,0
Clackamas,BYRD HOUSE BEGINNINGS,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,Byrd House Beginnings & Lady Bugs,PRESCHOOL / CHILD CARE / HEAD START,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,BYRD HOUSE BEGINNINGS PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,13,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,CANBY COMMUNITY PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,46,46,100%,46,100%,46,100%,46,100%,46,100%,46,100%,46,100%,46,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,Canby Head Start Preschool,PRESCHOOL / CHILD CARE / HEAD START,71,66,93%,68,96%,70,99%,70,99%,68,96%,69,97%,70,99%,66,93%,3,4%,3,4%,3,4%,1,1%,1,1%,3,4%,2,3%,1,1%,1,1%,0,0%,0,0%,0,0
Clackamas,CANBY HS CHILDCARE DEVELOPMENT CENTER,PRESCHOOL / CHILD CARE / HEAD START,28,26,93%,26,93%,26,93%,27,96%,26,93%,27,96%,26,93%,24,86%,2,7%,1,4%,2,7%,2,7%,1,4%,2,7%,1,4%,1,4%,1,4%,0,0%,0,0%,0,6
Clackamas,CANBY LEARNING TREE,PRESCHOOL / CHILD CARE / HEAD START,95,95,100%,95,100%,95,100%,95,100%,95,100%,95,100%,95,100%,95,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,80,25
Clackamas,Cardboard Castles Child Care,PRESCHOOL / CHILD CARE / HEAD START,10,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,10,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,2
Clackamas,CARUS CO-OP PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,38,37,97%,37,97%,37,97%,37,97%,37,97%,37,97%,37,97%,37,97%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,0,0%,0,0%,0,0
Clackamas,CASCADE SUMMIT MONTESSORI SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,101,95,94%,95,94%,95,94%,95,94%,95,94%,95,94%,95,94%,95,94%,5,5%,5,5%,5,5%,5,5%,5,5%,5,5%,5,5%,5,5%,5,5%,1,1%,0,0%,0,0
Clackamas,CATERPILLAR CLUBHOUSE,PRESCHOOL / CHILD CARE / HEAD START,66,65,98%,65,98%,65,98%,65,98%,65,98%,65,98%,65,98%,65,98%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,2%,0,0%,33,12
Clackamas,CCCC - HEAD START,PRESCHOOL / CHILD CARE / HEAD START,555,529,95%,535,96%,539,97%,539,97%,538,97%,539,97%,539,97%,515,93%,13,2%,12,2%,12,2%,12,2%,11,2%,11,2%,12,2%,11,2%,11,2%,0,0%,1,0%,0,0
Clackamas,CEDAROAK PARK PRIMARY,PRESCHOOL / CHILD CARE / HEAD START,32,30,94%,30,94%,30,94%,31,97%,29,91%,29,91%,30,94%,28,88%,3,9%,2,6%,2,6%,3,9%,2,6%,3,9%,3,9%,2,6%,2,6%,0,0%,0,0%,0,0
Clackamas,CHILDREN'S HOUR ACADEMY #1,PRESCHOOL / CHILD CARE / HEAD START,84,82,98%,84,100%,84,100%,84,100%,84,100%,84,100%,84,100%,82,98%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,CHILDREN'S HOUR ACADEMY #2,PRESCHOOL / CHILD CARE / HEAD START,23,23,100%,22,96%,23,100%,23,100%,22,96%,18,78%,22,96%,17,74%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,22
Clackamas,Child's View Montessori School - LO Campus,PRESCHOOL / CHILD CARE / HEAD START,22,21,95%,20,91%,20,91%,20,91%,20,91%,20,91%,20,91%,20,91%,2,9%,1,5%,2,9%,2,9%,2,9%,2,9%,2,9%,2,9%,1,5%,0,0%,0,0%,0,7
Clackamas,CHINESE AMERICAN INTERNATIONAL SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,22,22,100%,22,100%,22,100%,22,100%,22,100%,22,100%,22,100%,22,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,0
Clackamas,CHRIST CHURCH EPISCOPAL PRESCHOOL,PRESCHOOL / CHILD CARE / HEAD START,33,33,100%,33,100%,33,100%,33,100%,33,100%,33,100%,33,100%,33,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0
Clackamas,CHRIST THE VINE EARLY CHILDHOOD CENTER,PRESCHOOL / CHILD CARE / HEAD START,30,27,90%,27,90%,26,87%,27,90%,26,87%,26,87%,26,87%,25,83%,5,17%,3,10%,3,10%,4,13%,3,10%,4,13%,4,13%,4,13%,3,10%,0,0%,0,0%,0,0
Clackamas,CLACKAMAS COUNTY CHILDRENS COMMISSION EARLY HEAD S,PRESCHOOL / CHILD CARE / HEAD START,57,53,93%,56,98%,54,95%,56,98%,56,98%,56,98%,56,98%,52,91%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,0,0%,0,0%,0,24
Clackamas,CLACKAMAS DAY SCHOOL,PRESCHOOL / CHILD CARE / HEAD START,56,56,100%,56,100%,56,100%,56,100%,56,100%,56,100%,56,100%,56,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,35,10
